"NMFS_POPID","SPAWNINGYEAR","NOSAIJ","NOSAEJ","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","ext_datasource","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
100,1994,72,70,0.05,0.05,0.03,0.03,76,74,0,0.03,0.66,0.32,0,0,"SPS",179,149,184,153,216,174,222,179
100,1995,22,21,0.33,0.33,0.03,0.03,33,32,0,0.03,0.6,0.37,0,0,"SPS",134,89,138,92,166,111,171,114
100,1996,40,39,0.2,0.2,0.03,0.03,50,48,0,0.03,0.62,0.36,0,0,"SPS",108,75,112,77,135,92,139,94
100,1997,68,68,0.17,0.17,0,0,82,82,0,0,0.85,0.15,0,0,"SPS",98,66,101,68,121,81,124,83
100,1998,42,42,0.21,0.21,0,0,53,53,0,0,0.05,0.95,0,0,"SPS",84,44,86,45,104,55,106,56
100,1999,29,29,0.61,0.61,0.02,0.02,75,74,0,0.02,0.56,0.43,0,0,"SPS",74,37,76,37,98,55,100,56
100,2000,73,70,0.63,0.63,0.04,0.04,197,189,0,0.04,0.95,0.01,0,0,"SPS",65,47,66,48,93,78,95,80
100,2001,226,226,0.3,0.3,0,0,323,323,0,0,0.92,0.08,0,0,"SPS",71,67,72,67,103,114,105,116
100,2002,152,152,0.34,0.34,0,0,230,230,0,0,0.66,0.34,0,0,"SPS",72,78,73,79,107,141,108,142
100,2003,199,185,0.24,0.24,0.07,0.07,262,244,0,0.07,0.04,0.89,0,0,"SPS",68,105,69,108,102,191,105,196
100,2004,144,142,0.68,0.68,0.01,0.01,449,445,0,0.01,0.98,0.01,0,0,"SPS",73,145,74,148,122,273,125,280
100,2005,129,128,0.51,0.51,0.01,0.01,263,260,0,0.01,0.76,0.24,0,0,"SPS",87,163,89,166,151,291,154,297
100,2006,79,78,0.58,0.58,0.01,0.01,188,186,0,0.01,0.62,0.37,0,0,"SPS",94,132,95,135,173,261,176,266
100,2007,206,202,0.56,0.56,0.02,0.02,468,459,0,0.02,0.61,0.37,0,0,"SPS",104,140,106,143,205,300,209,307
100,2008,95,92,0.51,0.51,0.03,0.03,194,188,0,0.03,0.85,0.12,0,0,"SPS",113,121,115,123,233,284,238,289
100,2009,180,168,0.51,0.51,0.07,0.07,368,342,0,0.07,0.73,0.2,0,0,"SPS",135,126,138,129,271,270,279,278
100,2010,334,324,0.25,0.25,0.03,0.03,445,432,0,0.03,0.79,0.17,0,0,"SPS",157,151,161,156,295,299,303,309
100,2011,381,354,0.25,0.25,0.07,0.07,508,472,0,0.07,0.56,0.37,0,0,"SPS",164,205,170,214,306,360,317,376
100,2012,254,246,0.34,0.34,0.03,0.03,385,373,0,0.03,0.68,0.29,0,0,"SPS",172,213,179,223,321,345,333,362
100,2013,152,130,0.21,0.21,0.14,0.14,192,165,0,0.14,0.29,0.57,0,0,"SPS",166,228,174,245,309,336,323,361
100,2014,225,207,0.082,NA,NA,NA,245,225,NA,0.082,0.837,0.082,NA,NA,"CAX",173,238,182,256,289,309,304,333
100,2015,417,377,0.181,NA,NA,NA,509,460,NA,0.096,0.772,0.132,NA,NA,"CAX",192,245,205,268,306,313,325,342
100,2016,297,270,0.159,NA,NA,NA,353,321,0.024,0.092,0.714,0.17,NA,NA,"CAX",218,232,234,255,323,290,346,318
100,2017,63,48,0.376,NA,NA,NA,101,77,NA,0.237,0.644,0.119,NA,NA,"CAX",189,167,207,193,270,211,297,243
101,1963,2093,1245,0,0,0.405,0.405,2093,1245,0,0.405,0.354,0.241,0,0,"SPS",NA,1396,NA,1735,NA,1396,NA,1735
101,1964,4198,3845,0,0,0.084,0.084,4198,3845,0,0.084,0.545,0.371,0,0,"SPS",NA,1710,NA,2070,NA,1710,NA,2070
101,1965,1556,1116,0,0,0.283,0.283,1556,1116,0,0.283,0.427,0.29,0,0,"SPS",1593,1521,1974,1912,1593,1521,1974,1912
101,1966,4927,4282,0,0,0.131,0.131,4927,4282,0,0.131,0.517,0.352,0,0,"SPS",1834,2241,2249,2854,1834,2241,2249,2854
101,1967,2621,2162,0,0,0.175,0.175,2621,2162,0,0.175,0.491,0.334,0,0,"SPS",1872,2182,2293,2814,1872,2182,2293,2814
101,1968,1958,1707,0,0,0.128,0.128,1958,1707,0,0.128,0.519,0.353,0,0,"SPS",1853,2324,2253,2777,1853,2324,2253,2777
