"NMFS_POPID","SPAWNINGYEAR","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
13,1993,NA,NA,NA,NA,9698,9928,NA,NA
13,1994,NA,NA,NA,NA,9864,8353,NA,NA
13,1995,NA,NA,NA,NA,10124,7620,NA,NA
13,1996,NA,NA,NA,NA,10352,8251,NA,NA
13,1997,NA,NA,NA,NA,9944,8927,NA,NA
13,1998,NA,NA,NA,NA,9207,8539,NA,NA
13,1999,NA,NA,NA,NA,7451,6647,NA,NA
13,2000,NA,NA,NA,NA,7042,6508,NA,NA
13,2001,NA,NA,NA,NA,7220,6318,NA,NA
13,2002,NA,NA,NA,NA,7885,6964,NA,NA
13,2003,NA,NA,NA,NA,8450,8362,NA,NA
13,2004,NA,NA,NA,NA,8816,11694,NA,NA
13,2005,NA,NA,NA,NA,8822,11958,NA,NA
13,2006,NA,NA,NA,NA,8024,10190,NA,NA
13,2007,NA,NA,NA,NA,7414,7894,NA,NA
13,2008,NA,NA,NA,NA,7458,6652,NA,NA
13,2009,NA,NA,NA,NA,8206,5758,NA,NA
13,2010,NA,NA,NA,NA,8256,5700,NA,NA
13,2011,NA,NA,NA,NA,7998,6277,NA,NA
13,2012,NA,NA,NA,NA,7615,7347,NA,NA
13,2013,NA,9856,NA,NA,7740,9007,NA,NA
13,2014,NA,11445,NA,NA,8118,11445,NA,NA
13,2015,12913,13791,NA,NA,8866,13791,NA,NA
14,1967,NA,NA,NA,NA,NA,606,NA,NA
14,1968,NA,NA,NA,NA,NA,507,NA,NA
14,1969,NA,NA,NA,NA,472,445,NA,NA
14,1970,NA,NA,NA,NA,495,419,NA,NA
14,1971,NA,NA,NA,NA,594,543,NA,NA
14,1972,NA,NA,NA,NA,587,573,NA,NA
14,1973,NA,NA,NA,NA,530,553,NA,NA
14,1974,NA,NA,NA,NA,509,581,NA,NA
14,1975,NA,NA,NA,NA,487,567,NA,NA
14,1976,NA,NA,NA,NA,460,389,NA,NA
14,1977,NA,NA,NA,NA,475,394,NA,NA
14,1978,NA,NA,NA,NA,526,499,NA,NA
14,1979,NA,NA,NA,NA,568,555,NA,NA
14,1980,NA,NA,NA,NA,527,490,NA,NA
14,1981,NA,NA,NA,NA,445,510,NA,NA
14,1982,NA,NA,NA,NA,411,429,NA,NA
14,1983,NA,NA,NA,NA,427,365,NA,NA
14,1984,NA,NA,NA,NA,395,280,NA,NA
14,1985,NA,NA,NA,NA,392,313,NA,NA
14,1986,NA,NA,NA,NA,467,428,NA,NA
14,1987,NA,NA,NA,NA,486,551,NA,NA
14,1988,NA,NA,NA,NA,519,738,NA,NA
14,1989,NA,NA,NA,NA,567,1146,NA,NA
14,1990,NA,NA,NA,NA,697,1553,NA,NA
14,1991,NA,NA,NA,NA,715,1193,NA,NA
14,1992,NA,NA,NA,NA,825,1234,NA,NA
14,1993,NA,NA,NA,NA,899,1094,NA,NA
14,1994,NA,NA,NA,NA,1129,1112,NA,NA
14,1995,NA,NA,NA,NA,1022,672,NA,NA
14,1996,NA,NA,NA,NA,980,805,NA,NA
14,1997,NA,NA,NA,NA,1054,899,NA,NA
14,1998,NA,NA,NA,NA,1055,1017,NA,NA
14,1999,NA,NA,NA,NA,1021,938,NA,NA
14,2000,NA,NA,NA,NA,983,1436,NA,NA
14,2001,NA,NA,NA,NA,1212,1823,NA,NA
14,2002,NA,NA,NA,NA,1429,2272,NA,NA
14,2003,NA,NA,NA,NA,1782,3122,NA,NA
14,2004,NA,NA,NA,NA,1808,3487,NA,NA
14,2005,NA,NA,NA,NA,2331,3783,NA,NA
14,2006,NA,NA,NA,NA,2345,3016,NA,NA
14,2007,NA,NA,NA,NA,2222,2172,NA,NA
14,2008,NA,NA,NA,NA,2209,1563,NA,NA
14,2009,NA,NA,NA,NA,2362,1599,NA,NA
14,2010,NA,NA,NA,NA,2455,1593,NA,NA
14,2011,NA,NA,NA,NA,2322,1787,NA,NA
14,2012,NA,NA,NA,NA,2104,2038,NA,NA
14,2013,NA,1908,NA,NA,2051,2692,NA,NA
14,2014,NA,2069,NA,NA,2229,3107,NA,NA
14,2015,2255,2420,NA,NA,2490,3890,NA,NA
14,2016,2249,2560,NA,NA,2833,4492,NA,NA
14,2017,2215,2780,NA,NA,3233,5128,NA,NA
15,1967,NA,NA,NA,NA,NA,4719,NA,NA
15,1968,NA,NA,NA,NA,NA,4088,NA,NA
15,1969,NA,NA,NA,NA,4116,4299,NA,NA
15,1970,NA,NA,NA,NA,4653,4781,NA,NA
15,1971,NA,NA,NA,NA,5674,6532,NA,NA
15,1972,NA,NA,NA,NA,6563,8545,NA,NA
15,1973,NA,NA,NA,NA,6726,11067,NA,NA
15,1974,NA,NA,NA,NA,7306,12414,NA,NA
15,1975,NA,NA,NA,NA,7175,10768,NA,NA
15,1976,NA,NA,NA,NA,6998,7498,NA,NA
15,1977,NA,NA,NA,NA,7042,5803,NA,NA
15,1978,NA,NA,NA,NA,7276,4783,NA,NA
15,1979,NA,NA,NA,NA,7773,4867,NA,NA
15,1980,NA,NA,NA,NA,6764,4249,NA,NA
15,1981,NA,NA,NA,NA,5684,4308,NA,NA
15,1982,NA,NA,NA,NA,4682,3777,NA,NA
15,1983,NA,NA,NA,NA,4308,3881,NA,NA
15,1984,NA,NA,NA,NA,3868,3075,NA,NA
15,1985,NA,NA,NA,NA,3829,3450,NA,NA
15,1986,NA,NA,NA,NA,3793,3339,NA,NA
15,1987,NA,NA,NA,NA,3799,3820,NA,NA
15,1988,NA,NA,NA,NA,4148,4434,NA,NA
15,1989,NA,NA,NA,NA,4093,5449,NA,NA
15,1990,NA,NA,NA,NA,4138,4964,NA,NA
15,1991,NA,NA,NA,NA,3960,4696,NA,NA
15,1992,NA,NA,NA,NA,3883,3947,NA,NA
15,1993,NA,NA,NA,NA,3694,3078,NA,NA
15,1994,NA,NA,NA,NA,3685,2492,NA,NA
15,1995,NA,NA,NA,NA,3451,2399,NA,NA
15,1996,NA,NA,NA,NA,3202,2183,NA,NA
15,1997,NA,NA,NA,NA,2960,2220,NA,NA
15,1998,NA,NA,NA,NA,2601,2198,NA,NA
15,1999,NA,NA,NA,NA,2134,1827,NA,NA
15,2000,NA,NA,NA,NA,2106,1848,NA,NA
15,2001,NA,NA,NA,NA,2235,2287,NA,NA
15,2002,NA,NA,NA,NA,2646,3154,NA,NA
15,2003,NA,NA,NA,NA,3078,4311,NA,NA
15,2004,NA,NA,NA,NA,3260,5818,NA,NA
15,2005,NA,NA,NA,NA,3343,6049,NA,NA
15,2006,NA,NA,NA,NA,3553,5520,NA,NA
15,2007,NA,NA,NA,NA,3420,3707,NA,NA
15,2008,NA,NA,NA,NA,3371,2637,NA,NA
15,2009,NA,NA,NA,NA,3711,2367,NA,NA
15,2010,NA,NA,NA,NA,3884,2494,NA,NA
15,2011,NA,NA,NA,NA,3795,2609,NA,NA
15,2012,NA,NA,NA,NA,3233,2820,NA,NA
15,2013,NA,2480,NA,NA,2972,3349,NA,NA
15,2014,NA,2562,NA,NA,2964,3711,NA,NA
15,2015,2781,2829,NA,NA,3189,4078,NA,NA
15,2016,2795,2856,NA,NA,3279,4121,NA,NA
15,2017,2810,3242,NA,NA,3508,4365,NA,NA
16,1997,NA,NA,NA,NA,NA,3513,NA,NA
16,1998,NA,NA,NA,NA,NA,2351,NA,NA
16,1999,NA,NA,NA,NA,2036,1822,NA,NA
16,2000,NA,NA,NA,NA,1741,1523,NA,NA
16,2001,NA,NA,NA,NA,1540,1008,NA,NA
16,2002,NA,NA,NA,NA,1567,821,NA,NA
16,2003,NA,NA,NA,NA,1560,1036,NA,NA
16,2004,NA,NA,NA,NA,1452,1157,NA,NA
16,2005,NA,NA,NA,NA,1421,1325,NA,NA
16,2006,NA,NA,NA,NA,1358,1831,NA,NA
16,2007,NA,NA,NA,NA,1090,1446,NA,NA
16,2008,NA,NA,NA,NA,1096,1159,NA,NA
16,2009,NA,NA,NA,NA,1043,941,NA,NA
16,2010,NA,NA,NA,NA,1042,819,NA,NA
16,2011,NA,NA,NA,NA,1111,674,NA,NA
16,2012,NA,NA,NA,NA,1007,701,NA,NA
16,2013,NA,872,NA,NA,1010,881,NA,NA
16,2014,NA,928,NA,NA,993,1048,NA,NA
16,2015,999,1093,NA,NA,642,524,NA,NA
16,2016,1351,1611,NA,NA,700,722,NA,NA
16,2017,1436,2069,NA,NA,796,884,NA,NA
17,1984,NA,NA,NA,NA,NA,1325,NA,NA
17,1985,NA,NA,NA,NA,NA,1376,NA,NA
17,1986,NA,NA,NA,NA,1177,1243,NA,NA
17,1987,NA,NA,NA,NA,1486,1578,NA,NA
17,1988,NA,NA,NA,NA,1612,1510,NA,NA
17,1989,NA,NA,NA,NA,1708,2091,NA,NA
17,1990,NA,NA,NA,NA,1508,1653,NA,NA
17,1991,NA,NA,NA,NA,1625,2125,NA,NA
17,1992,NA,NA,NA,NA,1495,1417,NA,NA
17,1993,NA,NA,NA,NA,1288,1098,NA,NA
17,1994,NA,NA,NA,NA,1558,1160,NA,NA
17,1995,NA,NA,NA,NA,1529,1413,NA,NA
17,1996,NA,NA,NA,NA,1515,1081,NA,NA
17,1997,NA,NA,NA,NA,1202,1019,NA,NA
17,1998,NA,NA,NA,NA,976,867,NA,NA
17,1999,NA,NA,NA,NA,835,602,NA,NA
17,2000,NA,NA,NA,NA,812,466,NA,NA
17,2001,NA,NA,NA,NA,872,704,NA,NA
17,2002,NA,NA,NA,NA,1005,991,NA,NA
17,2003,NA,NA,NA,NA,1175,1593,NA,NA
17,2004,NA,NA,NA,NA,1206,2416,NA,NA
17,2005,NA,NA,NA,NA,1261,3408,NA,NA
17,2006,NA,NA,NA,NA,1290,2366,NA,NA
17,2007,NA,NA,NA,NA,1218,1497,NA,NA
17,2008,NA,NA,NA,NA,1319,1091,NA,NA
17,2009,NA,NA,NA,NA,1325,727,NA,NA
17,2010,NA,NA,NA,NA,1598,750,NA,NA
17,2011,NA,NA,NA,NA,1421,854,NA,NA
17,2012,NA,NA,NA,NA,1041,724,NA,NA
17,2013,NA,79,NA,NA,874,700,NA,NA
17,2014,NA,67,NA,NA,707,688,NA,NA
17,2015,69,59,NA,NA,657,575,NA,NA
17,2016,71,58,NA,NA,628,462,NA,NA
17,2017,60,55,NA,NA,554,423,NA,NA
17,2018,60,45,NA,NA,533,379,NA,NA
18,1983,NA,NA,NA,NA,NA,694,NA,NA
18,1984,NA,NA,NA,NA,NA,817,NA,NA
18,1985,NA,NA,NA,NA,755,715,NA,NA
18,1986,NA,NA,NA,NA,860,1016,NA,NA
18,1987,NA,NA,NA,NA,1115,1498,NA,NA
18,1988,NA,NA,NA,NA,1325,2222,NA,NA
18,1989,NA,NA,NA,NA,1459,2608,NA,NA
18,1990,NA,NA,NA,NA,1504,3164,NA,NA
18,1991,NA,NA,NA,NA,1766,3068,NA,NA
18,1992,NA,NA,NA,NA,1809,2184,NA,NA
18,1993,NA,NA,NA,NA,1931,1679,NA,NA
18,1994,NA,NA,NA,NA,1714,1127,NA,NA
18,1995,NA,NA,NA,NA,1608,817,NA,NA
18,1996,NA,NA,NA,NA,1407,645,NA,NA
18,1997,NA,NA,NA,NA,1062,516,NA,NA
18,1998,NA,NA,NA,NA,770,353,NA,NA
18,1999,NA,NA,NA,NA,589,308,NA,NA
18,2000,NA,NA,NA,NA,531,345,NA,NA
18,2001,NA,NA,NA,NA,487,367,NA,NA
18,2002,NA,NA,NA,NA,443,381,NA,NA
18,2003,NA,NA,NA,NA,412,481,NA,NA
18,2004,NA,NA,NA,NA,414,556,NA,NA
18,2005,NA,NA,NA,NA,380,420,NA,NA
18,2006,NA,NA,NA,NA,401,439,NA,NA
18,2007,NA,NA,NA,NA,384,387,NA,NA
18,2008,NA,NA,NA,NA,310,200,NA,NA
18,2009,NA,NA,NA,NA,269,130,NA,NA
18,2010,NA,NA,NA,NA,241,138,NA,NA
18,2011,NA,NA,NA,NA,197,88,NA,NA
18,2012,NA,NA,NA,NA,179,83,NA,NA
18,2013,NA,NA,NA,NA,140,99,NA,NA
18,2014,NA,NA,NA,NA,138,145,NA,NA
18,2015,NA,NA,NA,NA,141,143,NA,NA
18,2016,NA,NA,NA,NA,106,127,NA,NA
18,2017,NA,NA,NA,NA,93,103,NA,NA
18,2018,NA,NA,NA,NA,120,145,NA,NA
20,1984,NA,747,NA,NA,NA,3152,NA,NA
20,1985,NA,688,NA,NA,NA,2902,NA,NA
20,1986,686,674,NA,NA,2893,2843,NA,NA
20,1987,808,810,NA,NA,3411,3416,NA,NA
20,1988,884,988,NA,NA,3729,4168,NA,NA
20,1989,969,1194,NA,NA,4089,5036,NA,NA
20,1990,955,1324,NA,NA,4028,5589,NA,NA
20,1991,948,1333,NA,NA,3999,5626,NA,NA
20,1992,961,1140,NA,NA,4054,4810,NA,NA
20,1993,1041,1097,NA,NA,4392,4627,NA,NA
20,1994,1008,852,NA,NA,4254,3594,NA,NA
20,1995,1086,891,NA,NA,4582,3756,NA,NA
20,1996,1055,834,NA,NA,4449,3518,NA,NA
20,1997,1046,960,NA,NA,4413,4049,NA,NA
20,1998,969,857,NA,NA,4090,3614,NA,NA
20,1999,833,815,NA,NA,3516,3440,NA,NA
20,2000,664,495,NA,NA,2802,2090,NA,NA
20,2001,676,548,NA,NA,2852,2312,NA,NA
20,2002,694,502,NA,NA,2929,2119,NA,NA
20,2003,670,523,NA,NA,2825,2208,NA,NA
20,2004,672,554,NA,NA,2837,2340,NA,NA
20,2005,666,896,NA,NA,2811,3781,NA,NA
20,2006,731,975,NA,NA,3085,4115,NA,NA
22,1984,NA,501,NA,NA,NA,1060,NA,NA
22,1985,NA,442,NA,NA,NA,934,NA,NA
22,1986,403,409,NA,NA,890,855,NA,NA
22,1987,433,469,NA,NA,950,1042,NA,NA
22,1988,476,474,NA,NA,1038,1053,NA,NA
22,1989,469,444,NA,NA,1071,1080,NA,NA
22,1990,479,519,NA,NA,1112,1325,NA,NA
22,1991,496,602,NA,NA,1175,1615,NA,NA
22,1992,566,683,NA,NA,1456,2035,NA,NA
22,1993,572,690,NA,NA,1550,2281,NA,NA
22,1994,579,755,NA,NA,1653,2530,NA,NA
22,1995,606,707,NA,NA,1824,2512,NA,NA
22,1996,670,746,NA,NA,2076,2670,NA,NA
22,1997,693,703,NA,NA,2262,2515,NA,NA
22,1998,674,659,NA,NA,2331,2382,NA,NA
22,1999,697,644,NA,NA,2424,2322,NA,NA
22,2000,695,684,NA,NA,2483,2455,NA,NA
22,2001,740,733,NA,NA,2548,2433,NA,NA
22,2002,725,748,NA,NA,2247,2007,NA,NA
22,2003,732,812,NA,NA,2022,1717,NA,NA
22,2004,830,1069,NA,NA,2054,1817,NA,NA
22,2005,936,1283,NA,NA,2074,1751,NA,NA
22,2006,990,1335,NA,NA,1945,1555,NA,NA
22,2007,1023,1399,NA,NA,1786,1590,NA,NA
22,2008,1172,1691,NA,NA,1904,2113,NA,NA
22,2009,1218,1388,NA,NA,1884,1953,NA,NA
22,2010,1333,1386,NA,NA,2107,2534,NA,NA
22,2011,1353,1372,NA,NA,2179,3055,NA,NA
22,2012,1509,1628,NA,NA,2447,3768,NA,NA
22,2013,1623,1559,NA,NA,2625,3261,NA,NA
22,2014,1550,1730,NA,NA,2500,3201,NA,NA
22,2015,1653,1972,NA,NA,2656,2784,NA,NA
22,2016,1835,2456,NA,NA,2931,2812,NA,NA
22,2017,2108,2730,NA,NA,3371,3016,NA,NA
22,2018,2103,2837,NA,NA,3194,3129,NA,NA
25,1967,NA,NA,NA,NA,NA,1665,NA,NA
25,1968,NA,NA,NA,NA,NA,1809,NA,NA
25,1969,NA,NA,NA,NA,1915,1816,NA,NA
25,1970,NA,NA,NA,NA,2140,2239,NA,NA
25,1971,NA,NA,NA,NA,2420,2990,NA,NA
25,1972,NA,NA,NA,NA,2706,3989,NA,NA
25,1973,NA,NA,NA,NA,2460,3345,NA,NA
25,1974,NA,NA,NA,NA,2340,3015,NA,NA
25,1975,NA,NA,NA,NA,2175,2112,NA,NA
25,1976,NA,NA,NA,NA,2225,1655,NA,NA
25,1977,NA,NA,NA,NA,2139,1147,NA,NA
25,1978,NA,NA,NA,NA,2361,1666,NA,NA
25,1979,NA,NA,NA,NA,2502,2076,NA,NA
25,1980,NA,NA,NA,NA,1560,1152,NA,NA
25,1981,NA,NA,NA,NA,1093,721,NA,NA
25,1982,NA,NA,NA,NA,565,278,NA,NA
25,1983,NA,NA,NA,NA,528,125,NA,NA
25,1984,NA,NA,NA,NA,462,NA,NA,NA
25,1985,NA,NA,NA,NA,268,NA,NA,NA
25,1986,NA,NA,NA,NA,206,NA,NA,NA
25,1987,NA,NA,NA,NA,157,NA,NA,NA
25,1993,NA,NA,NA,NA,NA,169,NA,NA
25,1994,NA,NA,NA,NA,125,211,NA,NA
25,1995,NA,NA,NA,NA,236,268,NA,NA
25,1996,NA,NA,NA,NA,303,415,NA,NA
25,1997,NA,NA,NA,NA,327,540,NA,NA
25,1998,NA,NA,NA,NA,383,737,NA,NA
25,1999,NA,NA,NA,NA,408,788,NA,NA
25,2000,NA,NA,NA,NA,497,920,NA,NA
25,2001,NA,NA,NA,NA,702,1190,NA,NA
25,2002,NA,NA,NA,NA,1044,2020,NA,NA
25,2003,NA,NA,NA,NA,1541,3220,NA,NA
25,2004,NA,NA,NA,NA,1922,4689,NA,NA
25,2005,NA,NA,NA,NA,2371,6110,NA,NA
25,2006,NA,NA,NA,NA,2736,6291,NA,NA
25,2007,NA,NA,NA,NA,2940,4279,NA,NA
25,2008,NA,NA,NA,NA,3012,2817,NA,NA
25,2009,NA,NA,NA,NA,2926,1826,NA,NA
25,2010,NA,NA,NA,NA,3163,1638,NA,NA
25,2011,NA,NA,NA,NA,2806,1251,NA,NA
25,2012,NA,NA,NA,NA,2260,1194,NA,NA
25,2013,NA,313,NA,NA,1837,1197,NA,NA
25,2014,NA,330,NA,NA,1535,1290,NA,NA
25,2015,337,364,NA,NA,1294,1022,NA,NA
25,2016,341,412,NA,NA,1063,902,NA,NA
25,2017,337,436,NA,NA,995,829,NA,NA
27,1999,NA,NA,NA,NA,NA,42,NA,NA
27,2000,NA,NA,NA,NA,NA,20,NA,NA
27,2001,NA,NA,NA,NA,47,30,NA,NA
27,2002,NA,NA,NA,NA,95,89,NA,NA
27,2003,NA,NA,NA,NA,152,156,NA,NA
27,2004,NA,NA,NA,NA,204,724,NA,NA
27,2005,NA,NA,NA,NA,266,3567,NA,NA
27,2006,NA,NA,NA,NA,306,3091,NA,NA
27,2007,NA,NA,NA,NA,451,2277,NA,NA
27,2008,NA,NA,NA,NA,550,1935,NA,NA
27,2009,NA,NA,NA,NA,1341,2485,NA,NA
27,2010,NA,NA,NA,NA,3363,3170,NA,NA
27,2011,NA,NA,NA,NA,3816,4711,NA,NA
27,2012,NA,NA,NA,NA,3780,6276,NA,NA
27,2013,NA,2750,NA,NA,3952,8071,NA,NA
27,2014,NA,2644,NA,NA,4396,7779,NA,NA
27,2015,2754,2906,NA,NA,4699,6966,NA,NA
27,2016,2796,2720,NA,NA,5090,5499,NA,NA
27,2017,2585,2580,NA,NA,5160,4242,NA,NA
28,1983,NA,NA,NA,NA,NA,220,NA,NA
28,1984,NA,NA,NA,NA,NA,203,NA,NA
28,1985,NA,NA,NA,NA,194,200,NA,NA
28,1986,NA,NA,NA,NA,220,173,NA,NA
28,1987,NA,NA,NA,NA,191,140,NA,NA
28,1988,NA,NA,NA,NA,189,167,NA,NA
28,1989,NA,NA,NA,NA,211,219,NA,NA
28,1990,NA,NA,NA,NA,222,246,NA,NA
28,1991,NA,NA,NA,NA,184,195,NA,NA
28,1992,NA,NA,NA,NA,189,254,NA,NA
28,1993,NA,NA,NA,NA,211,266,NA,NA
28,1994,NA,NA,NA,NA,213,206,NA,NA
28,1995,NA,NA,NA,NA,225,207,NA,NA
28,1996,NA,NA,NA,NA,173,154,NA,NA
28,1997,NA,NA,NA,NA,208,170,NA,NA
28,1998,NA,NA,NA,NA,217,177,NA,NA
28,1999,NA,NA,NA,NA,199,192,NA,NA
28,2000,NA,NA,NA,NA,198,189,NA,NA
28,2001,NA,NA,NA,NA,213,295,NA,NA
28,2002,NA,NA,NA,NA,223,293,NA,NA
28,2003,NA,NA,NA,NA,278,437,NA,NA
28,2004,NA,NA,NA,NA,354,655,NA,NA
28,2005,NA,NA,NA,NA,367,712,NA,NA
28,2006,NA,NA,NA,NA,500,847,NA,NA
28,2007,NA,NA,NA,NA,419,599,NA,NA
28,2008,NA,NA,NA,NA,438,439,NA,NA
28,2009,NA,NA,NA,NA,491,368,NA,NA
28,2010,NA,NA,NA,NA,686,660,NA,NA
28,2011,NA,NA,NA,NA,827,808,NA,NA
28,2012,NA,NA,NA,NA,1072,1920,NA,NA
28,2013,NA,291,NA,NA,1140,2960,NA,NA
28,2014,NA,277,NA,NA,1197,3893,NA,NA
28,2015,259,254,NA,NA,1719,4480,NA,NA
28,2016,250,257,NA,NA,2268,6368,NA,NA
28,2017,234,220,NA,NA,3535,6509,NA,NA
29,1967,NA,NA,NA,NA,NA,335,NA,NA
29,1968,NA,NA,NA,NA,NA,317,NA,NA
29,1969,NA,NA,NA,NA,213,164,NA,NA
29,1970,NA,NA,NA,NA,174,149,NA,NA
29,1971,NA,NA,NA,NA,233,173,NA,NA
29,1972,NA,NA,NA,NA,279,241,NA,NA
29,1973,NA,NA,NA,NA,294,272,NA,NA
29,1974,NA,NA,NA,NA,280,477,NA,NA
29,1975,NA,NA,NA,NA,339,770,NA,NA
29,1976,NA,NA,NA,NA,324,607,NA,NA
29,1977,NA,NA,NA,NA,373,577,NA,NA
29,1978,NA,NA,NA,NA,439,709,NA,NA
29,1979,NA,NA,NA,NA,618,801,NA,NA
29,1980,NA,NA,NA,NA,751,732,NA,NA
29,1981,NA,NA,NA,NA,602,596,NA,NA
29,1982,NA,NA,NA,NA,534,494,NA,NA
29,1983,NA,NA,NA,NA,530,397,NA,NA
29,1984,NA,NA,NA,NA,464,269,NA,NA
29,1985,NA,NA,NA,NA,412,232,NA,NA
29,1986,NA,NA,NA,NA,399,267,NA,NA
29,1987,NA,NA,NA,NA,392,311,NA,NA
29,1988,NA,NA,NA,NA,389,381,NA,NA
29,1989,NA,NA,NA,NA,316,372,NA,NA
29,1990,NA,NA,NA,NA,223,215,NA,NA
29,1991,NA,NA,NA,NA,196,143,NA,NA
29,1992,NA,NA,NA,NA,162,84,NA,NA
29,1993,NA,NA,NA,NA,145,43,NA,NA
29,1994,NA,NA,NA,NA,110,24,NA,NA
29,1995,NA,NA,NA,NA,73,19,NA,NA
29,1996,NA,NA,NA,NA,66,25,NA,NA
29,1997,NA,NA,NA,NA,62,42,NA,NA
29,1998,NA,NA,NA,NA,51,58,NA,NA
29,1999,NA,NA,NA,NA,55,107,NA,NA
29,2000,NA,NA,NA,NA,71,206,NA,NA
29,2001,NA,NA,NA,NA,97,287,NA,NA
29,2002,NA,NA,NA,NA,127,308,NA,NA
29,2003,NA,NA,NA,NA,178,551,NA,NA
29,2004,NA,NA,NA,NA,313,916,NA,NA
29,2005,NA,NA,NA,NA,521,1321,NA,NA
29,2006,NA,NA,NA,NA,578,1166,NA,NA
29,2007,NA,NA,NA,NA,607,1195,NA,NA
29,2008,NA,NA,NA,NA,682,846,NA,NA
29,2009,NA,NA,NA,NA,754,621,NA,NA
29,2010,NA,NA,NA,NA,892,603,NA,NA
29,2011,NA,NA,NA,NA,1013,879,NA,NA
29,2012,NA,NA,NA,NA,1071,960,NA,NA
29,2013,NA,573,NA,NA,1020,1230,NA,NA
29,2014,NA,566,NA,NA,985,1563,NA,NA
29,2015,644,694,NA,NA,1175,2291,NA,NA
29,2016,629,594,NA,NA,1295,1906,NA,NA
29,2017,622,661,NA,NA,1294,1743,NA,NA
30,1967,NA,NA,NA,NA,NA,185,NA,NA
30,1968,NA,NA,NA,NA,NA,176,NA,NA
30,1969,NA,NA,NA,NA,148,147,NA,NA
30,1970,NA,NA,NA,NA,134,120,NA,NA
30,1971,NA,NA,NA,NA,183,176,NA,NA
30,1972,NA,NA,NA,NA,227,268,NA,NA
30,1973,NA,NA,NA,NA,223,283,NA,NA
30,1974,NA,NA,NA,NA,299,605,NA,NA
30,1975,NA,NA,NA,NA,348,1007,NA,NA
30,1976,NA,NA,NA,NA,444,1119,NA,NA
30,1977,NA,NA,NA,NA,558,1162,NA,NA
30,1978,NA,NA,NA,NA,643,1461,NA,NA
30,1979,NA,NA,NA,NA,926,1418,NA,NA
30,1980,NA,NA,NA,NA,1351,1813,NA,NA
30,1981,NA,NA,NA,NA,1361,1655,NA,NA
30,1982,NA,NA,NA,NA,1177,1192,NA,NA
30,1983,NA,NA,NA,NA,1534,1611,NA,NA
30,1984,NA,NA,NA,NA,1410,1403,NA,NA
30,1985,NA,NA,NA,NA,1501,1243,NA,NA
30,1986,NA,NA,NA,NA,1386,1161,NA,NA
30,1987,NA,NA,NA,NA,1507,1905,NA,NA
30,1988,NA,NA,NA,NA,1780,1966,NA,NA
30,1989,NA,NA,NA,NA,1892,2552,NA,NA
30,1990,NA,NA,NA,NA,1813,2646,NA,NA
30,1991,NA,NA,NA,NA,1939,3239,NA,NA
30,1992,NA,NA,NA,NA,2362,2929,NA,NA
30,1993,NA,NA,NA,NA,2448,3049,NA,NA
30,1994,NA,NA,NA,NA,2736,2932,NA,NA
30,1995,NA,NA,NA,NA,2889,3154,NA,NA
30,1996,NA,NA,NA,NA,3128,3022,NA,NA
30,1997,NA,NA,NA,NA,3203,3503,NA,NA
30,1998,NA,NA,NA,NA,3186,3328,NA,NA
30,1999,NA,NA,NA,NA,3076,3227,NA,NA
30,2000,NA,NA,NA,NA,3079,3005,NA,NA
30,2001,NA,NA,NA,NA,3107,3195,NA,NA
30,2002,NA,NA,NA,NA,3425,3349,NA,NA
30,2003,NA,NA,NA,NA,3388,3448,NA,NA
30,2004,NA,NA,NA,NA,3764,4391,NA,NA
30,2005,NA,NA,NA,NA,3725,4618,NA,NA
30,2006,NA,NA,NA,NA,3695,4272,NA,NA
30,2007,NA,NA,NA,NA,3314,3280,NA,NA
30,2008,NA,NA,NA,NA,3256,3075,NA,NA
30,2009,NA,NA,NA,NA,3216,2355,NA,NA
30,2010,NA,NA,NA,NA,3547,2724,NA,NA
30,2011,NA,NA,NA,NA,3486,2844,NA,NA
30,2012,NA,NA,NA,NA,2917,2594,NA,NA
30,2013,NA,541,NA,NA,2931,2794,NA,NA
30,2014,NA,611,NA,NA,2420,2486,NA,NA
30,2015,696,719,NA,NA,2442,2189,NA,NA
30,2016,720,815,NA,NA,2401,2028,NA,NA
30,2017,711,983,NA,NA,2326,2086,NA,NA
31,1968,NA,NA,NA,NA,NA,1162,NA,NA
31,1969,NA,NA,NA,NA,NA,1382,NA,NA
31,1970,NA,NA,NA,NA,1214,1285,NA,NA
31,1971,NA,NA,NA,NA,1125,973,NA,NA
31,1972,NA,NA,NA,NA,1088,909,NA,NA
31,1973,NA,NA,NA,NA,1062,988,NA,NA
31,1974,NA,NA,NA,NA,1041,784,NA,NA
31,1975,NA,NA,NA,NA,1114,966,NA,NA
31,1976,NA,NA,NA,NA,1068,1173,NA,NA
31,1977,NA,NA,NA,NA,899,889,NA,NA
31,1978,NA,NA,NA,NA,929,872,NA,NA
31,1979,NA,NA,NA,NA,802,820,NA,NA
31,1980,NA,NA,NA,NA,876,794,NA,NA
31,1981,NA,NA,NA,NA,885,668,NA,NA
31,1982,NA,NA,NA,NA,939,993,NA,NA
31,1983,NA,NA,NA,NA,829,788,NA,NA
31,1984,NA,NA,NA,NA,761,706,NA,NA
