"POPID","YEAR","NOSAIJ","NOSAEJ","NOBROODSTOCKREMOVED","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","METAID","JPOPFIT","JPOPFITNOTES","JTOTALNATURAL","JAGE0PROP","JAGE1PROP","JAGE2PROP","JAGE3PROP","JAGE4PLUSPROP","PPOPFIT","PPOPFITNOTES","PABUNDANCE","PAGE0PROP","PAGE1PROP","PAGE2PROP"
1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","",NA,NA,NA,NA
5,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate includes fraction of population",33448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",6947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",33448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",17398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",28097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",3940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",6422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",33843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",22666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",12132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",34879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",55617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",142284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",72989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",50148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",10887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",31549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",2077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",6470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",8581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",13081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",10693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",90916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",20801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",14265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",5819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",22436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",6640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",68515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",166758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",32970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",75530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",19955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",71489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",52338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",17777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",10149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",28268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",11759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",4467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",5073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",5051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",6649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",24447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",4323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",30250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",4803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",4388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",93021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",34490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",126475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",19501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",72314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",67499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",3608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",81549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",21289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",22347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",2913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",21101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",20404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",7868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",6559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",11276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",3394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",11092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",12733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same","Entire pop captured",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Most of pop captured",1704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1953,4273,3484,0,0,0,0.185,0,4273.218,3485,NA,0.1846,0.6153,0.2001,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1954,973,816,0,0,0,0.161,0,973,816,NA,0.1613,0.5591,0.2796,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1955,122,106,0,0,0,0.132,0,122,106,NA,0.1319,0.6484,0.2198,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1956,2606,2338,0,0,0,0.103,0,2606,2338,NA,0.1029,0.67,0.2271,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1957,1754,1619,0,0,0,0.077,0,1754.451,1620,NA,0.0769,0.7115,0.2096,0.0019,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1958,486,456,0,0,0,0.062,0,486.3825,456,NA,0.0625,0.8438,0.0938,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1959,712,655,0,0,0,0.08,0,712.2029,655,NA,0.0805,0.7471,0.1724,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1960,3161,2947,0,0,0,0.068,0,3161.486,2947,NA,0.0677,0.8175,0.1147,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1961,347,285,0,0,0,0.179,0,347.4161,285,NA,0.1786,0.6917,0.1297,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1962,1146,1081,0,0,0,0.057,0,1146.473,1081,NA,0.0568,0.7758,0.1673,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1963,313,261,0,0,0,0.167,0,313,261,NA,0.1667,0.5039,0.3295,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1964,208,181,0,0,0,0.13,0,208,181,NA,0.13,0.735,0.135,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1965,770,739,0,0,0,0.041,0,770,739,NA,0.0405,0.9158,0.0436,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1966,626,507,0,0,0,0.189,0,626,508,NA,0.1887,0.7384,0.071,0.0019,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1967,1625,1370,0,0,0,0.157,0,1625.271,1371,NA,0.1566,0.5152,0.3232,0.0051,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1968,822,728,0,0,0,0.115,0,822,728,NA,0.1149,0.7274,0.1576,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1969,1882,1819,0,0,0,0.033,0,1882.376,1820,NA,0.0333,0.9667,0,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1970,992,910,0,0,0,0.082,0,992,910,NA,0.0822,0.8532,0.0646,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1971,2319,2206,0,0,0,0.049,0,2319,2206,NA,0.0486,0.8892,0.0621,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1972,1106,1079,0,0,0,0.025,0,1106.47,1079,NA,0.025,0.75,0.225,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1973,1855,1816,0,0,0,0.021,0,1855,1817,NA,0.0205,0.8089,0.1706,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1974,753,738,0,0,0,0.02,0,753,738,NA,0.0196,0.747,0.2334,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1975,399,359,0,0,0,0.1,0,399.4311,360,NA,0.1,0.3375,0.5625,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1976,1028,973,0,0,0,0.054,0,1028.42,973,NA,0.0541,0.7703,0.1757,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1977,104,100,0,0,0,0.038,0,104.2248,100,NA,0.0384,0.6887,0.2728,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1978,878,878,0,0,0,0,0,878,878,NA,0,0.1316,0.8684,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1979,579,557,0,0,0,0.038,0,579.2168,557,NA,0.0384,0.6887,0.2728,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1980,1034,994,0,0,0,0.038,0,1034,994,NA,0.0384,0.6887,0.2728,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1981,275,264,0,0,0,0.038,0,275,264,NA,0.0384,0.6887,0.2728,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1982,745,716,0,0,0,0.038,0,745.3855,717,NA,0.0384,0.6887,0.2728,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1983,733,733,0,0,0,0,0,733.2902,733,NA,0,0.12,0.88,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1984,378,378,0,0,0,0,0,378.3448,378,NA,0,0.6944,0.3056,0,NA,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1985,386,371,0,0,0,0.038,0,386,371,NA,0.0385,0.7308,0.2308,0,NA,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1986,319,310,0,0.2,0.169,0.031,0.21464646,399.4311,372,NA,0.0312,0.6404,0.3284,0,NA,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1987,152,149,0,0.7777778,0.777,0.016,0.02591093,684.7452,668,NA,0.0159,0.9365,0.0476,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1988,163,160,0,0.7631579,0.763,0.022,0.02437009,690.0728,674,NA,0.0217,0.587,0.3913,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1989,72,72,0,0.625,0.609,0,0.05817783,190.9532,184,NA,0,0.7031,0.2969,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1990,0,0,0,1,1,NA,0.007598784,144.96547,144,NA,0,0,0,0,NA,1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1991,9,8,0,0.8666667,0.833,0.118,0.2614679,64,48,NA,0.1176,0.411,0.4714,0,NA,1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1992,40,40,0,0.75,0.752,0,0.01204819,161.8701,161,NA,0,0.8406,0.1594,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1993,107,99,0,0.6,0.615,0.074,0.0216,268.0493,257,NA,0.0741,0.0741,0.8519,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1994,14,14,0,0.5,0.5,0,0.03314917,28,28,NA,0,0.3913,0.6087,0,NA,1726,NA,NA,NA,NA,NA,NA,NA,NA,"Portion","Estimate is above screw trap only",42334,NA,1,NA
7,1995,38,34,0,0,0,0.105,0,38,34,NA,0.1053,0.8947,0,0,NA,1752,"Same","",12884,NA,NA,1,NA,NA,"Portion","Estimate is above screw trap only",10437,NA,1,NA
7,1996,35,34,0,0,0,0.031,0,35.29801,34,NA,0.031,0.9535,0.0155,0,NA,1726,"Same","",4892,NA,NA,1,NA,NA,"Portion","Estimate is above screw trap only",9325,NA,1,NA
