PopID,DataSource,DataVersion,DataUpdated,ESApopName,PopName,MPG,ESU,Species,MAT,CT,Delist,Delist_Class,Size,Priority,Pop_Status,Data_Status,PopFit,Hatchery_Type,Data_Attribution_Source,Data_Link,CA,SPS,Include_In_Tool
215,,,,Sockeye Salmon (Snake River ESU) - Alturas Creek,Alturas Creek,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,1000,300,1000,Viable,Intermediate,2,Extirpated,,,,,,,,TRUE
216,,,,Sockeye Salmon (Snake River ESU) - Hellroaring Creek,Hellroaring Creek,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,,,0,,,,Extirpated,,,,,,,,TRUE
219,,,,Sockeye Salmon (Snake River ESU) - Petit Lake,Petit Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
220,,,,Sockeye Salmon (Snake River ESU) - Redfish Lake,Redfish Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,1000,300,1000,Viable,Intermediate,2,Extant,available,Same,,Published: Non CAX DES Format Compliant,https://fishandgame.idaho.gov/ifwis/portal/,,,TRUE
221,,,,Sockeye Salmon (Snake River ESU) - Stanley Lake,Stanley Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
224,,,,Sockeye Salmon (Snake River ESU) - Yellow Belly Lake,Yellow Belly Lake,Stanley Basin,Snake River Sockeye Salmon ESU,Sockeye,500,150,500,Viable,Small,2,Extirpated,,,,,,,,TRUE
262,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Touchet River,Touchet River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1000,300,100,Maintained,Intermediate,2,Extant,available,Same,Integrated Conservation and Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
263,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Umatilla River,Umatilla River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1500,450,1500,Viable,Large,2,Extant,available,Same,Integrated Harvest,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
264,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Middle Columbia River DPS) - Walla Walla River,Walla Walla River,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,2,Extant,available,Same,Wild/None ,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
266,,,,Steelhead (Middle Columbia River DPS) - Willow Creek,Willow Creek,Umatilla And Walla Walla River,Middle Columbia River Steelhead DPS,Steelhead,,,0,,Intermediate,,Functionally Extirpated,,,,,,,,TRUE
100,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River,Entiat River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,500,150,500,Viable,Basic,1,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
101,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River,Methow River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
102,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,Wenatchee River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
327,,,,Steelhead (Upper Columbia River DPS) - Crab Creek,Crab Creek,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,,,0,,,,Functionally Extirpated,,,Wild/None,,,,,TRUE
328,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Entiat River,Entiat River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,500,150,500,Viable,Basic,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
329,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Methow River,Methow River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
330,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Okanogan River,Okanogan River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
331,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Steelhead (Upper Columbia River DPS) - Wenatchee River,Wenatchee River,Upper Columbia / East Slope Cascades,Upper Columbia River Steelhead DPS,Steelhead,1000,300,1000,Viable,Intermediate,1,Extant,available,Same,Integrated Conservation,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
337,,,,Chinook Salmon (Upper Columbia River Spring-run ESU) - Okanogan River,Okanogan River,Upper Columbia / East Slope Cascades,Upper Columbia River Spring-run Chinook Salmon ESU,Chinook,750,225,0,None,Intermediate,2,Extirpated (reintroduction),,,Reintroduction,,,,,TRUE
64,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River,East Fork Salmon River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,1000,300,1000,Viable,Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
70,NOAA Salmonid Population Summary,Status Review 2015,4/25/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River,Lemhi River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,2000,600,2000,Viable,Very Large,2,Extant,available,Same,Wild/None,NOAA Salmon Population Summary database ,https://www.webapps.nwfsc.noaa.gov/apex/f?p=261:HOME:::::: ,TRUE,TRUE,TRUE
84,Coordinated Assessments,,11/19/2016,Chinook Salmon (Snake River Spring/Summer-run ESU) - North Fork Salmon River,North Fork Salmon River,Upper Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,500,150,250,Maintained,Basic,3,Extant,available,Same,Wild/None,Coordinated Assessments Exchange (CAX): Published  ,http://www.streamnet.org/data/downloadable-data/,TRUE,,TRUE
