"tag_id","date","run","rtype","subbasin","subbasin_name","rel_site","rel_date","transported","length","etype","obs_site","ant"
"384.1B7972997B",2019-10-16 18:26:24,"Summer","W",17070201,"Upper John Day","JSFMC","2015-09-28",FALSE,65,"Observation","JD1","Downstream Array"
"384.3B239947BA",2019-10-04 08:16:31,"Summer","W",17020011,"Wenatchee","NASONC","2016-06-16",FALSE,90,"Recapture","TUM",NA
"384.3B239E97EB",2019-10-17 05:58:40,"Summer","W",17070306,"Lower Deschutes","BUCKHC","2018-05-02",FALSE,166,"Observation","DSF","Main Fishway"
"384.3B23A060B5",2019-10-01 05:21:59,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,200,"Observation","GRA","Ladder Exit"
"384.3B23A079C0",2019-10-13 04:27:26,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,175,"Observation","GRA","Ladder Exit"
"384.3B23A07B1D",2019-08-11 07:30:59,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,176,"Observation","TD1","Counting Window"
"384.3B23A1CE50",2019-10-27 09:57:55,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,174,"Observation","GRA","Ladder Exit"
"384.3B23A2E058",2019-10-16 18:49:34,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,160,"Observation","GRA","Ladder Exit"
"384.3B23A2F9E8",2019-11-27 08:32:31,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,142,"Observation","MC2","WEIR 302"
"384.3B23A32432",2019-05-09 21:16:08,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,198,"Observation","ACM","UPSTREAM ARRAY"
"384.3B23A44154",2019-09-20 01:46:49,"Summer","W",17060208,"South Fork Salmon","SECTRP","2016-06-04",FALSE,121,"Observation","GRA","Ladder Exit"
"384.3B23A4D4C6",2019-09-22 08:45:53,"Summer","W",17060208,"South Fork Salmon","SECTRP","2016-07-13",FALSE,154,"Observation","GRA","Ladder Exit"
"384.3B23A52DAC",2019-10-03 15:00:23,"Summer","W",17060208,"South Fork Salmon","JOHTRP","2015-06-25",FALSE,86,"Observation","GRA","Ladder Exit"
"384.3B23A56846",2019-09-24 15:02:11,"Summer","W",17060208,"South Fork Salmon","JOHTRP","2015-06-28",FALSE,99,"Observation","GRA","Ladder Exit"
"384.3B23A5ADDF",2019-10-04 10:03:20,"Summer","W",17060208,"South Fork Salmon","JOHTRP","2016-09-17",FALSE,155,"Observation","GRA","Ladder Exit"
"384.3B23A613B8",2019-09-20 11:13:01,"Summer","W",17060208,"South Fork Salmon","JOHTRP","2015-06-18",FALSE,84,"Observation","GRA","Ladder Exit"
"384.3B23A9CC1B",2019-03-20 14:28:31,"Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2016-05-05",FALSE,194,"Observation","BO1","VERTICAL SLOT DETECTORS"
"384.3B23AA13F7",2019-04-15 20:06:59,"Summer","H",17060110,"Lower Snake","LYFE","2016-04-18",FALSE,NA,"Observation","GOJ","ADULT FISH RETURN"
"384.3B23AC7F5A",2019-10-15 14:26:28,"Summer","W",17020011,"Wenatchee","NASONC","2017-05-02",FALSE,77,"Observation","TUF","WEIR 14"
"384.3B23ACBE7E",2019-10-22 13:54:15,"Summer","W",17020011,"Wenatchee","NASONC","2016-11-01",FALSE,76,"Observation","UWE","IN-STREAM ARRAY"
"384.3B23AD0DD4",2019-09-19 08:24:03,"Summer","W",17060204,"Lemhi","LEMHIR","2017-09-22",FALSE,184,"Observation","GRA","Ladder Exit"
"384.3B23B160B2",2019-10-22 06:49:13,"Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2017-04-05",FALSE,178,"Observation","LMA","Right Ladder"
"3D9.1BF2769BEB",2019-10-26 08:10:08,"Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2018-05-12",FALSE,199,"Observation","GOA","Counting Window"
