"tag_id","date","run","rtype","subbasin","subbasin_name","rel_site","rel_date","transported","length","etype","obs_site","ant"
"384.1B79743F99","2018-09-28 16:43:03","Summer","W",17070204,"Lower John Day","ROCK4C","2016-10-25",FALSE,108,"Observation","BO1","VERTICAL SLOT DETECTORS"
"384.1B7975A27F","2018-11-10 07:42:20","Summer","W",17070204,"Lower John Day","ROCK4C","2015-06-16",FALSE,77,"Observation","LMA","Right Ladder"
"384.3B23961A21","2018-08-06 13:43:46","N/A","W",17030002,"Naches","TIETNR","2017-02-22",FALSE,169,"Observation","BO4","VERTICAL SLOT DETECTORS"
"384.3B239B6648","2018-10-19 13:37:28","Summer","W",17060303,"Lochsa","FISTRP","2015-09-07",FALSE,170,"Observation","GRA","Ladder Exit"
"384.3B239B7D60","2018-11-23 12:37:39","Summer","W",17060303,"Lochsa","FISTRP","2015-09-07",FALSE,136,"Observation","ICH","LEFT LADDER WEIR 438 [O/S]"
"384.3B239BA819","2018-09-28 14:15:00","Summer","W",17060303,"Lochsa","FISTRP","2015-09-01",FALSE,176,"Recovery","COLR4",NA
"384.3B239BAA71","2018-11-08 13:35:51","Summer","W",17060303,"Lochsa","FISTRP","2015-09-16",FALSE,140,"Observation","LMA","Right Ladder"
"384.3B239CEBEA","2018-09-12 18:47:57","Summer","W",17060203,"Middle Salmon-Panther","PANTHC","2013-11-07",FALSE,88,"Observation","ICH","LEFT LADDER WEIR 438 [O/S]"
"384.3B23A002CB","2018-09-04 07:45:13","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,213,"Observation","JO2","WEIR 247"
"384.3B23A07E1E","2018-08-02 04:16:45","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,208,"Observation","GRA","Ladder Exit"
"384.3B23A09F4D","2018-08-08 06:21:02","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,195,"Observation","LMA","Right Ladder"
"384.3B23A0CC1B","2018-09-17 18:30:50","Summer","H",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-18",FALSE,224,"Observation","TD1","Counting Window"
"384.3B23A32432","2018-11-22 18:48:51","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,198,"Observation","DSF","Main Fishway"
"384.3B23A33EE8","2018-10-15 15:24:50","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,204,"Observation","GRA","Ladder Exit"
"384.3B23A34CA2","2018-10-08 07:05:39","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-17",FALSE,174,"Observation","TD1","Counting Window"
"384.3B23A441A4","2018-10-30 06:29:41","Summer","W",17060208,"South Fork Salmon","SECTRP","2015-11-01",FALSE,185,"Observation","GRA","Ladder Exit"
"384.3B23A4793B","2018-09-17 10:25:51","Summer","W",17060208,"South Fork Salmon","SECTRP","2015-11-02",FALSE,180,"Observation","GRA","Ladder Exit"
"384.3B23A4E7DB","2018-10-01 20:29:11","Summer","W",17060208,"South Fork Salmon","SECTRP","2015-11-09",FALSE,129,"Observation","GRA","Ladder Exit"
"384.3B23A62B21","2018-08-16 16:15:56","Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2016-04-30",FALSE,159,"Observation","BO4","VERTICAL SLOT DETECTORS"
"384.3B23A63874","2018-09-30 09:42:46","Summer","W",17060208,"South Fork Salmon","JOHTRP","2015-08-01",FALSE,155,"Observation","GRA","Ladder Exit"
"384.3B23A6FB76","2018-11-16 15:11:04","Summer","W",17030003,"Lower Yakima","TOPPEC","2015-12-29",FALSE,127,"Observation","RIA","Right Ladder Exit Channel"
"384.3B23A709C2","2018-08-22 15:40:30","Summer","W",17060208,"South Fork Salmon","JOHTRP","2015-07-18",FALSE,193,"Observation","BO4","VERTICAL SLOT DETECTORS"
"384.3B23A79988","2018-07-14 10:49:16","Unknown","W",17070105,"Middle Columbia-Hood","WIND2R","2014-05-18",FALSE,161,"Observation","BO1","VERTICAL SLOT DETECTORS"
"384.3B23A8BBDA","2018-07-28 12:30:43","Summer","W",17030003,"Lower Yakima","TOPPEC","2015-12-13",FALSE,88,"Observation","RRF","Trap"
"384.3B23A91842","2018-10-18 12:11:18","Summer","W",17030003,"Lower Yakima","TOPPEC","2015-12-14",FALSE,91,"Observation","PRO","LEFT BANK LDR COUNTING WINDOW"
"384.3B23A97BB1","2018-11-07 08:06:10","Summer","H",17060110,"Lower Snake","LYFE","2016-04-18",FALSE,NA,"Observation","MC1","WEIR 288"
"384.3B23A9CC1B","2018-12-25 12:59:07","Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2016-05-05",FALSE,194,"Observation","TD2","Counting Window"
"384.3B23AA13F7","2018-12-07 10:39:19","Summer","H",17060110,"Lower Snake","LYFE","2016-04-18",FALSE,NA,"Observation","JO1","WEIR 181"
"384.3B23ABD72F","2018-10-12 14:57:57","Summer","W",17060303,"Lochsa","FISTRP","2015-09-03",FALSE,156,"Observation","GRA","Ladder Exit"
"384.3B23AF1DCD","2018-07-20 14:43:45","Summer","W",17070102,"Walla Walla","WALLAR","2016-12-20",FALSE,160,"Observation","BO4","VERTICAL SLOT DETECTORS"
"384.3B23B1D7BE","2018-10-13 15:28:51","Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2016-05-14",FALSE,163,"Observation","GOA","Counting Window"
"384.3B23B26607","2018-11-02 22:13:16","Summer","W",17060107,"Lower Snake-Tucannon","TUCR","2016-05-14",FALSE,185,"Observation","WSR","PIT Tag Array"
"3D9.1BF10118F3","2018-11-06 20:20:09","Summer","W",17070103,"Umatilla","BIRCHC","2016-02-26",FALSE,215,"Observation","GOA","Counting Window"
"3D9.1BF26F8EF0","2018-09-26 11:18:59","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-06-03",FALSE,206,"Observation","GRA","Ladder Exit"
"3D9.1BF2700DEB","2018-09-08 18:47:10","Summer","H",17060107,"Lower Snake-Tucannon","LGRRBR","2015-05-02",FALSE,209,"Observation","BO1","VERTICAL SLOT DETECTORS"
"3D9.1BF2707646","2018-09-07 06:22:06","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2015-05-02",FALSE,190,"Observation","BO4","VERTICAL SLOT DETECTORS"
"3D9.1BF273FF8A","2018-09-23 16:51:42","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2015-05-19",FALSE,179,"Observation","GRA","Ladder Exit"
"3D9.1BF2789051","2018-09-11 08:52:49","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-06-01",FALSE,170,"Observation","GRA","Ladder Exit"
"3D9.1BF278A77A","2018-09-23 10:39:02","Summer","H",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-28",FALSE,220,"Observation","GRA","Ladder Exit"
"3D9.1BF278A8EE","2018-09-24 10:12:29","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-28",FALSE,206,"Observation","GRA","WEIR 733"
"3D9.1BF278BA9B","2018-09-30 09:29:21","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-05-28",FALSE,175,"Observation","GRA","WEIR 733"
"3D9.1BF27A06E1","2018-09-30 15:21:12","Summer","W",17060107,"Lower Snake-Tucannon","LGRRBR","2017-06-09",FALSE,205,"Observation","GRA","Ladder Exit"
"3D9.1C2C9AD024","2018-03-13 12:59:17","Unknown","W",17070105,"Middle Columbia-Hood","WHITSR","2016-04-16",FALSE,218,"Observation","BO1","VERTICAL SLOT DETECTORS"
"3D9.1C2C9B2C0E","2018-05-17 18:54:28","Unknown","W",17070105,"Middle Columbia-Hood","WHITSR","2016-03-31",FALSE,151,"Observation","EFD","Downstream Antenna"
"3D9.1C2D0B2ADF","2018-08-09 07:21:59","Unknown","W",17070105,"Middle Columbia-Hood","WHITSR","2016-05-10",FALSE,187,"Observation","BO4","VERTICAL SLOT DETECTORS"
"3D9.1C2D1FA641","2018-09-09 10:01:38","Unknown","W",17070101,"Middle Columbia-Lake Wallula","ROCK2C","2016-10-24",FALSE,138,"Observation","MC2","COUNTING WINDOW"
"3D9.1C2D69DF55","2018-10-28 08:33:42","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","SC2","INSTREAM ARRAY"
"3D9.1C2D69F66E","2018-09-12 11:11:36","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D6A016F","2018-11-17 15:26:28","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D6A209B","2018-09-25 13:14:31","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","TD1","Counting Window"
"3D9.1C2D6A50AB","2018-09-29 10:38:00","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D6ABFA6","2018-09-14 18:06:16","Summer","W",17060305,"South Fork Clearwater","CLWRSF","2017-05-16",FALSE,160,"Observation","GRA","Ladder Exit"
"3D9.1C2D6AE507","2018-11-01 18:37:27","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","SC2","INSTREAM ARRAY"
"3D9.1C2D6AF96C","2018-10-29 13:09:47","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","SC2","INSTREAM ARRAY"
"3D9.1C2D6B090C","2018-11-08 10:29:46","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","MC1","WEIR 288"
"3D9.1C2D6B3A1F","2018-11-04 11:01:04","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","GRA","WEIR 733"
"3D9.1C2D6B3D03","2018-10-13 15:07:00","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","JO1","WEIR 181"
"3D9.1C2D6B7C3F","2018-10-13 10:15:56","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D703E02","2018-09-28 09:09:46","Summer","U",17030003,"Lower Yakima","PROTAL","2017-09-24",FALSE,600,"Observation","PRO","LEFT BANK LDR COUNTING WINDOW"
"3D9.1C2D70822D","2018-09-26 23:59:45","Summer","U",17030003,"Lower Yakima","PROTAL","2017-11-06",FALSE,580,"Observation","PRO","LEFT BANK LDR COUNTING WINDOW"
"3D9.1C2D709CB7","2018-10-02 02:03:31","Summer","U",17030003,"Lower Yakima","PROTAL","2017-09-26",FALSE,610,"Observation","PRO","LEFT BANK LDR COUNTING WINDOW"
"3D9.1C2D7201FD","2018-11-07 18:38:03","Summer","H",17060305,"South Fork Clearwater","CLWRSF","2017-04-13",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D720A4F","2018-12-16 09:57:20","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D723ECD","2018-09-25 21:12:21","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D724CD1","2018-11-04 16:45:39","Summer","H",17060305,"South Fork Clearwater","CLWRSF","2017-04-13",FALSE,NA,"Observation","TD2","Counting Window"
"3D9.1C2D7259CA","2018-10-10 16:23:01","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D728753","2018-11-04 02:26:53","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","SC2","INSTREAM ARRAY"
"3D9.1C2D7290AD","2018-11-04 10:30:10","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-04",FALSE,NA,"Observation","SC1","INSTREAM ARRAY"
"3D9.1C2D729137","2018-10-22 07:12:32","Summer","H",17060305,"South Fork Clearwater","NEWSOC","2016-04-05",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D72E026","2018-09-23 16:26:42","Summer","H",17060305,"South Fork Clearwater","CLWRSF","2017-04-12",FALSE,NA,"Observation","GRA","Ladder Exit"
"3D9.1C2D7362FA","2018-10-25 16:41:26","Summer","W",17070307,"Trout","TROU2C","2017-04-25",FALSE,178,"Observation","DSF","Main Fishway"
"3D9.1C2D7371BA","2018-11-08 20:16:30","Summer","W",17070307,"Trout","TROU2C","2017-04-24",FALSE,174,"Observation","DSF","Main Fishway"
"3D9.1C2D7376AE","2018-09-14 11:45:42","Summer","W",17070307,"Trout","TROU2C","2016-04-26",FALSE,188,"Observation","DSF","Main Fishway"
