"HUC12","braided","island_bra","meandering","straight","confined","certainty","count"
"170601100106",20.6666666666667,163,19.6666666666667,130,666.666666666667,1.33333333333333,48
"170601100401",53.6363636363636,467.727272727273,51.3636363636364,336.363636363636,90.9090909090909,3.63636363636364,33
"170601100403",45.3333333333333,393.520833333333,40.875,291.104166666667,229.166666666667,3.08333333333333,48
"170601100404",8.45454545454546,501.704545454545,15.2727272727273,65.4772727272727,409.090909090909,2.36363636363636,44
"170602010101",19.6,18.6,777.8,184,0,3.17777777777778,45
"170602010102",1.86842105263158,94.5,351.289473684211,552.342105263158,0,3.71052631578947,38
"170602010103",32.8478260869565,35.695652173913,702.826086956522,228.630434782609,0,3.71739130434783,46
"170602010105",11.9473684210526,17.2368421052632,664.052631578947,227.815789473684,78.9473684210526,2.86842105263158,38
"170602010106",49.3928571428571,20.9642857142857,851.75,77.8928571428571,0,3.5,28
"170602010201",2.06451612903226,39.8709677419355,670.741935483871,287.322580645161,0,3.32258064516129,31
"170602010202",4.52380952380952,16.8571428571429,310.285714285714,668.333333333333,0,3.23809523809524,21
"170602010203",17.2391304347826,118.413043478261,287.260869565217,577.086956521739,0,3.34782608695652,46
"170602010204",10.2432432432432,29.3513513513514,547.837837837838,412.567567567568,0,3.78378378378378,37
"170602010205",45,43.3846153846154,658.102564102564,253.512820512821,0,3.79487179487179,39
"170602010301",3.85106382978723,44.7659574468085,524.382978723404,341.893617021277,85.1063829787234,2.70212765957447,47
"170602010302",20.8358208955224,28.4328358208955,632.223880597015,303.582089552239,14.9253731343284,2.83582089552239,67
"170602010401",9.36585365853658,62.0487804878049,20.2682926829268,664.414634146341,243.90243902439,2.70731707317073,41
"170602010402",3.98412698412698,32.2539682539683,4.88888888888889,673.15873015873,285.714285714286,2.03174603174603,63
"170602010403",40.5365853658537,56.0243902439024,554.073170731707,251.80487804878,97.5609756097561,3.14634146341463,41
"170602010404",116,82,131,671,0,4,2
"170602010405",55,177.65,487.516666666667,279.833333333333,0,3.63333333333333,60
"170602010406",15.8529411764706,33.7647058823529,54.3529411764706,660.735294117647,235.294117647059,2.29411764705882,34
"170602010407",30.4716981132075,19.1698113207547,576.943396226415,316.811320754717,56.6037735849057,2.94339622641509,53
"170602010408",68.4615384615385,184.038461538462,433.826923076923,82.9038461538462,230.769230769231,2.88461538461538,52
"170602010501",4.37254901960784,49.5098039215686,7.29411764705882,880,58.8235294117647,2.56862745098039,51
"170602010502",24.8474576271186,222.881355932203,118.152542372881,413.779661016949,220.338983050847,2.77966101694915,59
"170602010503",9.36842105263158,74.1052631578947,5,806.263157894737,105.263157894737,3.05263157894737,19
"170602010504",9.48717948717949,152.307692307692,77.2435897435897,684.038461538462,76.9230769230769,2.8974358974359,78
"170602010505",58.6458333333333,246.75,49.25,270.354166666667,375,2.22916666666667,48
"170602010601",48.6052631578947,131.868421052632,382.315789473684,42.4736842105263,394.736842105263,2.34210526315789,38
"170602010602",4.7906976744186,101.790697674419,66.2325581395349,827.186046511628,0,3.3953488372093,43
"170602010603",0.863636363636364,21.9545454545455,7.93181818181818,37.4318181818182,931.818181818182,0.25,44
"170602010701",16.5217391304348,88.4565217391304,118.739130434783,602.369565217391,173.913043478261,2.6304347826087,46
"170602010702",28.7101449275362,63.6666666666667,72.9565217391304,312.927536231884,521.739130434783,1.63768115942029,69
"170602010801",8.6,10.2,28.9,352.3,600,1.1,10
"170602010802",37.6333333333333,77.7333333333333,159.8,691.5,33.3333333333333,3.1,30
"170602010803",25.0526315789474,92.2368421052632,104.078947368421,752.315789473684,26.3157894736842,3.39473684210526,38
"170602010901",31.8541666666667,49.625,0.958333333333333,500.895833333333,416.666666666667,1.875,48
