"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
35,"1171098463147","Steelhead","Summer","Spawning and rearing","1706010302","170601030208",90,1
35,"1184778460386","Chinook","Spring","Rearing and migration","1702001107","170200110708",47,3
36,"1171999464202","Steelhead","Summer","Rearing and migration","1706010701","170601070101",90,3
36,"1171999464202","Steelhead","Summer","Rearing and migration","1706010701","170601070105",90,31
36,"1171999464202","Steelhead","Summer","Rearing and migration","1706010702","170601070201",90,2
36,"1177221460632","Chinook","Spring","Spawning and rearing","1702000601","170200060108",398,6
36,"1177221460632","Chinook","Spring","Spawning and rearing","1706010603","170601060306",13,2
36,"1177221460632","Chinook","Spring","Spawning and rearing","1706010603","170601060307",13,1
37,"1170448461697","Steelhead","Summer","Migration only","1706010303","170601030304",90,10
37,"1176788459820","Chinook","Spring","Spawning and rearing","1706010603","170601060307",13,25
38,"1170499457046","Steelhead","Summer","Migration only","1706010604","170601060405",85,13
38,"1176788459820","Chinook","Spring","Migration only","1702001002","170200100205",45,3
38,"1176788459820","Chinook","Spring","Migration only","1706010603","170601060307",13,9
38,"1176788459820","Chinook","Spring","Migration only","1706010603","170601060308",13,1
39,"1169884462992","Steelhead","Summer","Spawning and rearing","1706010303","170601030304",90,65
39,"1180008465082","Chinook","Spring","Spawning and rearing","1702000601","170200060101",398,25
39,"1180008465082","Chinook","Spring","Spawning and rearing","1702000601","170200060108",398,8
39,"1180008465082","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,1
40,"1170411460062","Steelhead","Summer","Migration only","1706010606","170601060606",85,15
40,"1180078465057","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,1
41,"1172128464118","Steelhead","Summer","Migration only","1706010701","170601070105",90,1
41,"1187441460216","Chinook","Spring","Migration only","1702000604","170200060402",398,2
42,"1174512459454","Chinook","Spring","Migration only","1702001002","170200100205",45,7
42,"1176599458767","Steelhead","Summer","Migration only","1706010601","170601060103",83,15
42,"1176599458767","Steelhead","Summer","Migration only","1706010601","170601060105",83,1
43,"1171023457027","Steelhead","Summer","Migration only","1706010604","170601060408",85,21
43,"1177950459508","Chinook","Spring","Migration only","1702001002","170200100204",45,7
43,"1177950459508","Chinook","Spring","Migration only","1706010603","170601060302",13,1
43,"1177950459508","Chinook","Spring","Migration only","1706010603","170601060303",13,24
44,"1172943460388","Steelhead","Summer","Spawning and rearing","1706010607","170601060706",83,11
45,"1171565457144","Steelhead","Summer","Migration only","1706010605","170601060503",85,67
46,"1170219457478","Steelhead","Summer","Migration only","1706010604","170601060403",85,2
47,"1174145466563","Steelhead","Summer","Migration only","1706010702","170601070205",90,2
48,"1173185460326","Steelhead","Summer","Rearing and migration","1706010607","170601060709",83,1
48,"1198933480501","Chinook","Spring","Rearing and migration","1702000806","170200080602",46,6
48,"1198933480501","Chinook","Spring","Rearing and migration","1702000806","170200080605",46,64
48,"1198933480501","Chinook","Spring","Rearing and migration","1702000806","170200080610",46,62
