"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
627,"1206585477882","Steelhead","Summer","Rearing and migration","1702001103","170200110303",108,15
628,"1206256460267","Steelhead","Summer","Spawning and rearing","1703000307","170300030701",74,8
629,"1205854460368","Steelhead","Summer","Spawning and rearing","1703000307","170300030701",74,30
630,"1206513473979","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,5
631,"1204996469262","Steelhead","Summer","Rearing and migration","1703000104","170300010408",76,10
631,"1204996469262","Steelhead","Summer","Rearing and migration","1703000104","170300010409",76,3
631,"1204996469262","Steelhead","Summer","Rearing and migration","1703000105","170300010511",76,1
632,"1206808466479","Steelhead","Summer","Spawning and rearing","1703000203","170300020311",73,21
633,"1206015470099","Steelhead","Summer","Spawning and rearing","1703000105","170300010507",76,1
633,"1206015470099","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,1
634,"1204734475234","Steelhead","Summer","Migration only","1702001106","170200110601",108,1
634,"1204734475234","Steelhead","Summer","Migration only","1702001106","170200110602",108,26
635,"1203156474560","Steelhead","Summer","Migration only","1702001003","170200100308",105,2
636,"1204610465409","Steelhead","Summer","Migration only","1703000302","170300030206",73,1
637,"1202883473965","Steelhead","Summer","Rearing and migration","1702001003","170200100309",105,1
638,"1202169476606","Steelhead","Summer","Migration only","1702001002","170200100209",105,3
638,"1202169476606","Steelhead","Summer","Migration only","1702001003","170200100303",105,1
639,"1205809466338","Steelhead","Summer","Migration only","1703000203","170300020312",73,2
640,"1206344477955","Steelhead","Summer","Rearing and migration","1702001103","170200110308",108,2
641,"1197277468382","Steelhead","Summer","Migration only","1702001510","170200151012",104,2
642,"1193186462805","Steelhead","Summer","Migration only","1703000312","170300031205",74,2
643,"1205131469469","Steelhead","Summer","Migration only","1703000104","170300010408",76,1
644,"1205732475578","Steelhead","Summer","Rearing and migration","1702001105","170200110501",108,10
645,"1205561458839","Steelhead","Summer","Spawning and rearing","1707010113","170701011301",62,17
645,"1205561458839","Steelhead","Summer","Spawning and rearing","1707010113","170701011303",62,1
646,"1204632457950","Steelhead","Summer","Spawning and rearing","1707010113","170701011305",62,28
646,"1204632457950","Steelhead","Summer","Spawning and rearing","1707010113","170701011306",62,18
647,"1205396469506","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,1
648,"1206645478449","Steelhead","Summer","Rearing and migration","1702001103","170200110308",108,3
649,"1205374469514","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,3
650,"1205194469315","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,3
651,"1206121470267","Steelhead","Summer","Migration only","1703000105","170300010506",76,3
652,"1205373469521","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,1
653,"1206671474410","Steelhead","Summer","Rearing and migration","1702001105","170200110501",108,2
654,"1206616474429","Steelhead","Summer","Rearing and migration","1702001105","170200110501",108,2
655,"1204634465646","Steelhead","Summer","Migration only","1703000302","170300030206",73,2
656,"1204631465366","Steelhead","Summer","Migration only","1703000302","170300030206",73,3
657,"1205084469164","Steelhead","Summer","Rearing and migration","1703000104","170300010409",76,7
658,"1205675466279","Steelhead","Summer","Spawning and rearing","1703000203","170300020311",73,34
658,"1205675466279","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,1
659,"1206808466479","Steelhead","Summer","Migration only","1703000203","170300020311",73,7
660,"1205541469864","Steelhead","Summer","Migration only","1703000104","170300010408",76,6
661,"1204734475234","Steelhead","Summer","Spawning and rearing","1702001106","170200110604",108,50
662,"1200303471127","Steelhead","Summer","Migration only","1702001004","170200100407",108,1
663,"1205809466338","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,4
664,"1205084469164","Steelhead","Summer","Migration only","1703000104","170300010409",76,2
665,"1205369469583","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,3
666,"1205793469945","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,8
667,"1206661475803","Steelhead","Summer","Spawning and rearing","1702001104","170200110406",108,14
667,"1206661475803","Steelhead","Summer","Spawning and rearing","1702001107","170200110703",108,1
668,"1205534463536","Steelhead","Summer","Spawning and rearing","1703000304","170300030401",75,12
669,"1204658465171","Steelhead","Summer","Migration only","1703000305","170300030501",73,5
670,"1205138466304","Steelhead","Summer","Migration only","1703000302","170300030206",73,1
671,"1206439476252","Steelhead","Summer","Spawning and rearing","1702001107","170200110704",108,6
672,"1206645478449","Steelhead","Summer","Spawning and rearing","1702001103","170200110308",108,3
673,"1205875475692","Steelhead","Summer","Rearing and migration","1702001107","170200110706",108,11
674,"1205197458125","Steelhead","Summer","Spawning and rearing","1707010113","170701011304",62,24
675,"1205765475615","Steelhead","Summer","Spawning and rearing","1702001107","170200110706",108,2
676,"1206594475929","Steelhead","Summer","Spawning and rearing","1702001107","170200110706",108,3
677,"1206203466513","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,3
678,"1206585477882","Steelhead","Summer","Spawning and rearing","1702001103","170200110305",108,38
678,"1206585477882","Steelhead","Summer","Spawning and rearing","1702001103","170200110308",108,68
678,"1206585477882","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,1
679,"1204721465289","Steelhead","Summer","Spawning and rearing","1703000301","170300030105",73,90
679,"1204721465289","Steelhead","Summer","Spawning and rearing","1703000301","170300030104",73,23
680,"1204494467688","Steelhead","Summer","Migration only","1703000107","170300010708",76,1
681,"1205071469120","Steelhead","Summer","Rearing and migration","1703000105","170300010511",76,2
682,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110503",108,8
682,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001107","170200110707",108,1
683,"1205474463221","Steelhead","Summer","Migration only","1703000306","170300030607",75,2
683,"1205474463221","Steelhead","Summer","Migration only","1703000306","170300030606",75,19
684,"1205561458839","Steelhead","Summer","Migration only","1707010113","170701011301",62,19
685,"1205793469955","Steelhead","Summer","Migration only","1703000105","170300010511",76,1
685,"1205793469955","Steelhead","Summer","Migration only","1703000105","170300010510",76,7
686,"1204632457950","Steelhead","Summer","Migration only","1707010113","170701011305",62,21
687,"1204907466951","Steelhead","Summer","Spawning and rearing","1703000106","170300010605",76,33
687,"1204907466951","Steelhead","Summer","Spawning and rearing","1703000107","170300010709",76,1
688,"1206224470265","Steelhead","Summer","Spawning and rearing","1703000105","170300010507",76,2
689,"1204693465374","Steelhead","Summer","Migration only","1703000302","170300030205",73,52
690,"1205790466318","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,1
691,"1205030469443","Steelhead","Summer","Migration only","1703000104","170300010403",76,1
691,"1205030469443","Steelhead","Summer","Migration only","1703000104","170300010408",76,3
692,"1204721465289","Steelhead","Summer","Migration only","1703000301","170300030105",73,2
692,"1204721465289","Steelhead","Summer","Migration only","1703000302","170300030206",73,1
693,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,4
694,"1205061474300","Steelhead","Summer","Spawning and rearing","1702001106","170200110604",108,1
694,"1205061474300","Steelhead","Summer","Spawning and rearing","1702001106","170200110603",108,6
695,"1200303471127","Steelhead","Summer","Spawning and rearing","1702001004","170200100407",108,5
696,"1205692460469","Steelhead","Summer","Migration only","1703000307","170300030702",74,15
697,"1206172463768","Steelhead","Summer","Migration only","1703000303","170300030302",75,26
697,"1206172463768","Steelhead","Summer","Migration only","1703000303","170300030305",75,41
697,"1206172463768","Steelhead","Summer","Migration only","1703000306","170300030605",75,1
698,"1206599474630","Steelhead","Summer","Rearing and migration","1702001105","170200110502",108,2
698,"1206599474630","Steelhead","Summer","Rearing and migration","1702001105","170200110503",108,1
699,"1206513473979","Steelhead","Summer","Rearing and migration","1702001105","170200110501",108,8
700,"1205121459045","Steelhead","Summer","Migration only","1707010113","170701011301",62,4
701,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110707",108,35
701,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110708",108,35
702,"1206608477671","Steelhead","Summer","Migration only","1702001107","170200110701",108,4
703,"1206456473780","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,3
704,"1205138466304","Steelhead","Summer","Migration only","1703000203","170300020312",73,11
705,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,85
705,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110703",108,50
705,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110706",108,37
705,"1203156474560","Steelhead","Summer","Spawning and rearing","1702001107","170200110707",108,1
706,"1206307475107","Steelhead","Summer","Spawning and rearing","1702001105","170200110503",108,1
707,"1206344477955","Steelhead","Summer","Rearing and migration","1702001103","170200110308",108,1
708,"1204991469477","Steelhead","Summer","Migration only","1703000104","170300010403",76,7
709,"1205030469443","Steelhead","Summer","Rearing and migration","1703000104","170300010408",76,6
710,"1206599474630","Steelhead","Summer","Migration only","1702001105","170200110502",108,2
711,"1205299458407","Steelhead","Summer","Spawning and rearing","1707010113","170701011303",62,5
712,"1203156474560","Steelhead","Summer","Rearing and migration","1702001107","170200110708",108,14
713,"1206172463768","Steelhead","Summer","Spawning and rearing","1703000303","170300030302",75,7
714,"1204991469477","Steelhead","Summer","Rearing and migration","1703000104","170300010403",76,3
715,"1205105486503","Steelhead","Summer","Migration only","1702000801","170200080104",106,16
716,"1204996469262","Steelhead","Summer","Migration only","1703000104","170300010408",76,26
717,"1200176471099","Steelhead","Summer","Spawning and rearing","1702001004","170200100407",108,33
718,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,4
718,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110503",108,1
719,"1204830468552","Steelhead","Summer","Rearing and migration","1703000107","170300010701",76,28
720,"1205056465510","Steelhead","Summer","Migration only","1703000301","170300030105",73,81
721,"1206585477882","Steelhead","Summer","Rearing and migration","1702001103","170200110301",108,18
721,"1206585477882","Steelhead","Summer","Rearing and migration","1702001103","170200110303",108,36
722,"1206611467002","Steelhead","Summer","Rearing and migration","1703000203","170300020312",73,20
723,"1205121459045","Steelhead","Summer","Spawning and rearing","1707010113","170701011301",62,2
724,"1204830468552","Steelhead","Summer","Rearing and migration","1703000107","170300010705",76,1
725,"1205503460911","Steelhead","Summer","Migration only","1703000307","170300030702",74,6
726,"1206513473979","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,1
727,"1204907466951","Steelhead","Summer","Spawning and rearing","1703000106","170300010605",76,10
728,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110503",108,23
729,"1204734475234","Steelhead","Summer","Rearing and migration","1702001107","170200110708",108,1
730,"1206653475780","Steelhead","Summer","Spawning and rearing","1702001107","170200110703",108,2
731,"1205197458125","Steelhead","Summer","Migration only","1707010113","170701011304",62,5
732,"1206808466469","Steelhead","Summer","Migration only","1703000203","170300020311",73,1
732,"1206808466469","Steelhead","Summer","Migration only","1703000203","170300020310",73,15
733,"1206662473896","Steelhead","Summer","Migration only","1702001105","170200110501",108,9
734,"1204494467688","Steelhead","Summer","Migration only","1703000107","170300010708",76,7
735,"1205875475692","Steelhead","Summer","Migration only","1702001107","170200110706",108,5
736,"1204991473947","Steelhead","Summer","Migration only","1702001106","170200110601",108,21
737,"1206808466479","Steelhead","Summer","Migration only","1703000203","170300020311",73,37
737,"1206808466479","Steelhead","Summer","Migration only","1703000203","170300020309",73,7
738,"1205732475578","Steelhead","Summer","Spawning and rearing","1702001105","170200110501",108,2
739,"1204756466060","Steelhead","Summer","Migration only","1703000302","170300030206",73,5
740,"1205277484377","Steelhead","Summer","Migration only","1702000805","170200080502",106,3
740,"1205277484377","Steelhead","Summer","Migration only","1702000805","170200080503",106,1
741,"1205358469463","Steelhead","Summer","Spawning and rearing","1703000105","170300010511",76,5
742,"1204748475215","Steelhead","Summer","Migration only","1702001106","170200110604",108,4
743,"1205105486513","Steelhead","Summer","Migration only","1702000802","170200080201",106,26
744,"1200176471099","Steelhead","Summer","Migration only","1702001004","170200100408",108,1
744,"1200176471099","Steelhead","Summer","Migration only","1702001004","170200100407",108,1
745,"1205732475578","Steelhead","Summer","Rearing and migration","1702001105","170200110501",108,7
746,"1206141466417","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,1
747,"1206139466416","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,1
748,"1205535463265","Steelhead","Summer","Migration only","1703000306","170300030606",75,2
749,"1200303471127","Steelhead","Summer","Migration only","1702001004","170200100407",108,28
750,"1206172463768","Steelhead","Summer","Migration only","1703000303","170300030302",75,11
751,"1204930458405","Steelhead","Summer","Spawning and rearing","1707010113","170701011306",62,14
752,"1204591469539","Steelhead","Summer","Migration only","1703000104","170300010405",76,15
752,"1204591469539","Steelhead","Summer","Migration only","1703000104","170300010409",76,1
753,"1205661470032","Steelhead","Summer","Migration only","1703000104","170300010408",76,7
754,"1204966469272","Steelhead","Summer","Migration only","1703000104","170300010409",76,4
755,"1208551473329","Steelhead","Summer","Migration only","1703000102","170300010204",76,12
756,"1208513480705","Steelhead","Summer","Rearing and migration","1702001103","170200110302",108,1
756,"1208513480705","Steelhead","Summer","Rearing and migration","1702001103","170200110303",108,1
757,"1208826472705","Steelhead","Summer","Migration only","1703000102","170300010204",76,1
758,"1207945479629","Steelhead","Summer","Rearing and migration","1702001103","170200110303",108,1
758,"1207945479629","Steelhead","Summer","Rearing and migration","1702001103","170200110304",108,3
759,"1208014473653","Steelhead","Summer","Spawning and rearing","1703000102","170300010201",76,3
760,"1208599464465","Steelhead","Summer","Migration only","1703000303","170300030301",75,1
760,"1208599464465","Steelhead","Summer","Migration only","1703000303","170300030302",75,1
761,"1208122478304","Steelhead","Summer","Spawning and rearing","1702001101","170200110110",108,43
762,"1207148478105","Steelhead","Summer","Rearing and migration","1702001101","170200110105",108,30
762,"1207148478105","Steelhead","Summer","Rearing and migration","1702001101","170200110111",108,21
762,"1207148478105","Steelhead","Summer","Rearing and migration","1702001107","170200110701",108,3
763,"1208479473474","Steelhead","Summer","Spawning and rearing","1703000102","170300010201",76,12
763,"1208479473474","Steelhead","Summer","Spawning and rearing","1703000102","170300010204",76,1
764,"1207850472143","Steelhead","Summer","Migration only","1703000102","170300010205",76,5
765,"1208122478304","Steelhead","Summer","Rearing and migration","1702001101","170200110110",108,2
765,"1208122478304","Steelhead","Summer","Rearing and migration","1702001101","170200110111",108,3
766,"1210527469199","Steelhead","Summer","Migration only","1703000202","170300020202",73,1
767,"1207604458602","Steelhead","Summer","Spawning and rearing","1707010603","170701060302",61,10
768,"1206915478674","Steelhead","Summer","Spawning and rearing","1702001103","170200110308",108,1
768,"1206915478674","Steelhead","Summer","Spawning and rearing","1702001103","170200110307",108,3
769,"1208003470879","Steelhead","Summer","Migration only","1703000105","170300010504",76,2
770,"1206994472081","Steelhead","Summer","Rearing and migration","1703000105","170300010502",76,10
771,"1208797472725","Steelhead","Summer","Spawning and rearing","1703000102","170300010204",76,7
772,"1208968472571","Steelhead","Summer","Migration only","1703000102","170300010202",76,57
773,"1206892473189","Steelhead","Summer","Migration only","1703000105","170300010501",76,5
774,"1207923464310","Steelhead","Summer","Migration only","1703000303","170300030305",75,23
775,"1207271476789","Steelhead","Summer","Spawning and rearing","1702001107","170200110702",108,16
775,"1207271476789","Steelhead","Summer","Spawning and rearing","1702001107","170200110703",108,1
776,"1208968472581","Steelhead","Summer","Migration only","1703000102","170300010202",76,1
776,"1208968472581","Steelhead","Summer","Migration only","1703000102","170300010203",76,38
777,"1207345476870","Steelhead","Summer","Spawning and rearing","1702001107","170200110702",108,1
778,"1208825471130","Steelhead","Summer","Migration only","1703000105","170300010504",76,3
779,"1208578472984","Steelhead","Summer","Migration only","1703000102","170300010204",76,13
780,"1207004477059","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,1
781,"1207063477064","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,3
782,"1208336471670","Steelhead","Summer","Rearing and migration","1703000102","170300010205",76,1
783,"1209786468764","Steelhead","Summer","Spawning and rearing","1703000202","170300020207",73,2
784,"1208534465242","Steelhead","Summer","Spawning and rearing","1703000301","170300030103",73,28
784,"1208534465242","Steelhead","Summer","Spawning and rearing","1703000301","170300030104",73,1
785,"1207980465281","Steelhead","Summer","Spawning and rearing","1703000301","170300030104",73,1
786,"1208213477739","Steelhead","Summer","Migration only","1702001102","170200110203",108,2
787,"1208826472705","Steelhead","Summer","Rearing and migration","1703000102","170300010204",76,7
788,"1208768472513","Steelhead","Summer","Rearing and migration","1703000102","170300010204",76,18
788,"1208768472513","Steelhead","Summer","Rearing and migration","1703000102","170300010205",76,1
789,"1209901471771","Steelhead","Summer","Spawning and rearing","1703000101","170300010106",76,37
789,"1209901471771","Steelhead","Summer","Spawning and rearing","1703000103","170300010307",76,1
790,"1208534465232","Steelhead","Summer","Migration only","1703000301","170300030101",73,17
791,"1208336471670","Steelhead","Summer","Spawning and rearing","1703000102","170300010205",76,6
792,"1208599464475","Steelhead","Summer","Migration only","1703000303","170300030301",75,8
793,"1208534465232","Steelhead","Summer","Spawning and rearing","1703000301","170300030102",73,46
793,"1208534465232","Steelhead","Summer","Spawning and rearing","1703000301","170300030104",73,1
794,"1207885472178","Steelhead","Summer","Migration only","1703000102","170300010205",76,3
795,"1207857467464","Steelhead","Summer","Spawning and rearing","1703000203","170300020306",73,14
795,"1207857467464","Steelhead","Summer","Spawning and rearing","1703000203","170300020308",73,87
795,"1207857467464","Steelhead","Summer","Spawning and rearing","1703000203","170300020312",73,1
796,"1208628480840","Steelhead","Summer","Rearing and migration","1702001103","170200110301",108,2
797,"1209843458164","Steelhead","Summer","Migration only","1707010603","170701060304",61,2
798,"1207081470923","Steelhead","Summer","Rearing and migration","1703000105","170300010504",76,56
799,"1206925473321","Steelhead","Summer","Migration only","1703000105","170300010501",76,7
800,"1208794472726","Steelhead","Summer","Migration only","1703000102","170300010204",76,6
801,"1208769481039","Steelhead","Summer","Rearing and migration","1702001103","170200110301",108,2
802,"1208620463844","Steelhead","Summer","Migration only","1703000303","170300030302",75,18
803,"1208564480774","Steelhead","Summer","Rearing and migration","1702001103","170200110301",108,2
804,"1208121467235","Steelhead","Summer","Spawning and rearing","1703000203","170300020308",73,1
804,"1208121467235","Steelhead","Summer","Spawning and rearing","1703000203","170300020307",73,30
805,"1207296479037","Steelhead","Summer","Spawning and rearing","1702001103","170200110305",108,1
805,"1207296479037","Steelhead","Summer","Spawning and rearing","1702001103","170200110306",108,3
806,"1207058459164","Steelhead","Summer","Spawning and rearing","1707010603","170701060301",61,3
807,"1206954472430","Steelhead","Summer","Migration only","1703000105","170300010501",76,4
808,"1207980465281","Steelhead","Summer","Spawning and rearing","1703000301","170300030104",73,3
809,"1208593471715","Steelhead","Summer","Spawning and rearing","1703000103","170300010307",76,4
810,"1207552477670","Steelhead","Summer","Migration only","1702001102","170200110203",108,1
811,"1208336473546","Steelhead","Summer","Spawning and rearing","1703000102","170300010201",76,6
812,"1207938472225","Steelhead","Summer","Migration only","1703000102","170300010205",76,11
813,"1208839479006","Steelhead","Summer","Spawning and rearing","1702001101","170200110105",108,2
814,"1208814466193","Steelhead","Summer","Migration only","1703000203","170300020309",73,15
815,"1209157463561","Steelhead","Summer","Migration only","1703000303","170300030303",75,3
816,"1206969464013","Steelhead","Summer","Migration only","1703000303","170300030305",75,30
817,"1209899477681","Steelhead","Summer","Migration only","1702001102","170200110201",108,5
818,"1208599464475","Steelhead","Summer","Spawning and rearing","1703000303","170300030301",75,12
818,"1208599464475","Steelhead","Summer","Spawning and rearing","1703000303","170300030302",75,1
819,"1208547473188","Steelhead","Summer","Migration only","1703000102","170300010204",76,14
820,"1208065477680","Steelhead","Summer","Migration only","1702001102","170200110203",108,5
821,"1206954472430","Steelhead","Summer","Rearing and migration","1703000105","170300010501",76,3
822,"1207044459129","Steelhead","Summer","Spawning and rearing","1707010603","170701060301",61,1
823,"1208801467972","Steelhead","Summer","Spawning and rearing","1703000202","170300020208",73,1
824,"1208336471670","Steelhead","Summer","Spawning and rearing","1703000102","170300010205",76,52
824,"1208336471670","Steelhead","Summer","Spawning and rearing","1703000105","170300010505",76,1
825,"1209786468764","Steelhead","Summer","Migration only","1703000202","170300020201",73,5
826,"1208534465242","Steelhead","Summer","Migration only","1703000301","170300030103",73,17
827,"1209068467344","Steelhead","Summer","Migration only","1703000203","170300020307",73,2
828,"1207057459124","Steelhead","Summer","Spawning and rearing","1707010603","170701060301",61,5
829,"1210619458451","Steelhead","Summer","Spawning and rearing","1707010603","170701060302",61,42
829,"1210619458451","Steelhead","Summer","Spawning and rearing","1707010603","170701060304",61,52
830,"1208534465242","Steelhead","Summer","Migration only","1703000301","170300030103",73,2
831,"1208554472950","Steelhead","Summer","Migration only","1703000102","170300010204",76,9
832,"1209857462894","Steelhead","Summer","Migration only","1703000306","170300030601",75,4
833,"1207148478105","Steelhead","Summer","Spawning and rearing","1702001101","170200110102",108,6
833,"1207148478105","Steelhead","Summer","Spawning and rearing","1702001101","170200110105",108,41
834,"1207370471233","Steelhead","Summer","Spawning and rearing","1703000105","170300010502",76,51
834,"1207370471233","Steelhead","Summer","Spawning and rearing","1703000105","170300010505",76,1
834,"1207370471233","Steelhead","Summer","Spawning and rearing","1703000105","170300010501",76,36
835,"1208064477690","Steelhead","Summer","Spawning and rearing","1702001102","170200110203",108,7
836,"1208599464465","Steelhead","Summer","Spawning and rearing","1703000303","170300030301",75,10
837,"1206886477073","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,2
838,"1208608458129","Steelhead","Summer","Spawning and rearing","1707010603","170701060304",61,3
839,"1208045477661","Steelhead","Summer","Migration only","1702001102","170200110203",108,1
840,"1207365458658","Steelhead","Summer","Spawning and rearing","1707010603","170701060302",61,2
841,"1207375471580","Steelhead","Summer","Spawning and rearing","1703000105","170300010502",76,1
842,"1208569465269","Steelhead","Summer","Spawning and rearing","1703000301","170300030102",73,1
843,"1207461463856","Steelhead","Summer","Migration only","1703000303","170300030303",75,16
844,"1208534465232","Steelhead","Summer","Migration only","1703000301","170300030101",73,18
844,"1208534465232","Steelhead","Summer","Migration only","1703000301","170300030102",73,7
845,"1207057459114","Steelhead","Summer","Spawning and rearing","1707010603","170701060301",61,5
846,"1208768472513","Steelhead","Summer","Spawning and rearing","1703000102","170300010201",76,18
846,"1208768472513","Steelhead","Summer","Spawning and rearing","1703000102","170300010204",76,23
847,"1208181463971","Steelhead","Summer","Migration only","1703000303","170300030302",75,15
848,"1207345476870","Steelhead","Summer","Migration only","1702001107","170200110702",108,14
849,"1207461463856","Steelhead","Summer","Spawning and rearing","1703000303","170300030303",75,43
849,"1207461463856","Steelhead","Summer","Spawning and rearing","1703000303","170300030305",75,1
850,"1208599464465","Steelhead","Summer","Migration only","1703000303","170300030301",75,9
851,"1208553471074","Steelhead","Summer","Migration only","1703000105","170300010504",76,3
852,"1207148478095","Steelhead","Summer","Spawning and rearing","1702001102","170200110203",108,76
852,"1207148478095","Steelhead","Summer","Spawning and rearing","1702001102","170200110201",108,37
852,"1207148478095","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,1
853,"1210619458451","Steelhead","Summer","Spawning and rearing","1707010603","170701060307",61,24
853,"1210619458451","Steelhead","Summer","Spawning and rearing","1707010603","170701060304",61,5
853,"1210619458451","Steelhead","Summer","Spawning and rearing","1707010604","170701060402",61,1
854,"1208181463971","Steelhead","Summer","Spawning and rearing","1703000303","170300030302",75,12
855,"1206954472430","Steelhead","Summer","Migration only","1703000105","170300010502",76,1
855,"1206954472430","Steelhead","Summer","Migration only","1703000105","170300010501",76,7
856,"1208359458244","Steelhead","Summer","Spawning and rearing","1707010603","170701060304",61,13
857,"1207296479037","Steelhead","Summer","Rearing and migration","1702001103","170200110306",108,2
858,"1208797472725","Steelhead","Summer","Migration only","1703000102","170300010204",76,3
859,"1208551473172","Steelhead","Summer","Migration only","1703000102","170300010204",76,1
860,"1207081470923","Steelhead","Summer","Spawning and rearing","1703000105","170300010504",76,8
860,"1207081470923","Steelhead","Summer","Spawning and rearing","1703000105","170300010507",76,1
861,"1207150476853","Steelhead","Summer","Spawning and rearing","1702001107","170200110701",108,3
862,"1208604462871","Steelhead","Summer","Spawning and rearing","1703000306","170300030603",75,12
863,"1211934463523","Steelhead","Summer","Migration only","1707010601","170701060104",61,25
864,"1210723461256","Steelhead","Summer","Spawning and rearing","1707010602","170701060206",61,1
865,"1209321471120","Steelhead","Summer","Migration only","1703000105","170300010504",76,1
865,"1209321471120","Steelhead","Summer","Migration only","1703000105","170300010503",76,27
866,"1210136471760","Steelhead","Summer","Spawning and rearing","1703000103","170300010306",76,3
867,"1210935469898","Steelhead","Summer","Spawning and rearing","1703000201","170300020102",73,32
867,"1210935469898","Steelhead","Summer","Spawning and rearing","1703000201","170300020109",73,36
868,"1210946469837","Steelhead","Summer","Migration only","1703000202","170300020202",73,10
869,"1210104458355","Steelhead","Summer","Migration only","1707010603","170701060307",61,1
869,"1210104458355","Steelhead","Summer","Migration only","1707010603","170701060305",61,3
870,"1209321471120","Steelhead","Summer","Migration only","1703000105","170300010503",76,15
871,"1209417458101","Steelhead","Summer","Migration only","1707010603","170701060303",61,3
871,"1209417458101","Steelhead","Summer","Migration only","1707010603","170701060304",61,1
872,"1210102477767","Steelhead","Summer","Migration only","1702001102","170200110201",108,1
873,"1210488469231","Steelhead","Summer","Migration only","1703000202","170300020202",73,1
874,"1211330470152","Steelhead","Summer","Spawning and rearing","1703000201","170300020103",73,34
874,"1211330470152","Steelhead","Summer","Spawning and rearing","1703000201","170300020109",73,1
875,"1210946468718","Steelhead","Summer","Migration only","1703000202","170300020203",73,1
876,"1210723461256","Steelhead","Summer","Spawning and rearing","1707010602","170701060206",61,1
877,"1210761472100","Steelhead","Summer","Migration only","1703000103","170300010306",76,5
878,"1210723461256","Steelhead","Summer","Migration only","1707010602","170701060206",61,7
879,"1210708469505","Steelhead","Summer","Spawning and rearing","1703000202","170300020202",73,2
880,"1211330470152","Steelhead","Summer","Migration only","1703000201","170300020103",73,5
881,"1210469471784","Steelhead","Summer","Migration only","1703000103","170300010306",76,3
882,"1209699471859","Steelhead","Summer","Migration only","1703000103","170300010307",76,7
883,"1212085469295","Steelhead","Summer","Migration only","1703000201","170300020108",73,1
884,"1210293472214","Steelhead","Summer","Spawning and rearing","1703000101","170300010106",76,4
885,"1209291468203","Steelhead","Summer","Spawning and rearing","1703000202","170300020204",73,30
885,"1209291468203","Steelhead","Summer","Spawning and rearing","1703000202","170300020206",73,66
885,"1209291468203","Steelhead","Summer","Spawning and rearing","1703000202","170300020208",73,1
886,"1209157477755","Steelhead","Summer","Spawning and rearing","1702001102","170200110202",108,1
887,"1209479468144","Steelhead","Summer","Migration only","1703000202","170300020205",73,19
888,"1211870464581","Steelhead","Summer","Migration only","1707010601","170701060102",61,16
889,"1210723461256","Steelhead","Summer","Migration only","1707010602","170701060208",61,1
889,"1210723461256","Steelhead","Summer","Migration only","1707010602","170701060206",61,1
890,"1210723461256","Steelhead","Summer","Spawning and rearing","1707010602","170701060206",61,2
891,"1210084468124","Steelhead","Summer","Spawning and rearing","1703000202","170300020206",73,1
892,"1210936469885","Steelhead","Summer","Spawning and rearing","1703000201","170300020108",73,1
892,"1210936469885","Steelhead","Summer","Spawning and rearing","1703000201","170300020109",73,1
893,"1209389468300","Steelhead","Summer","Migration only","1703000202","170300020203",73,9
894,"1209968465319","Steelhead","Summer","Migration only","1703000301","170300030102",73,5
896,"1210723461256","Steelhead","Summer","Migration only","1707010602","170701060206",61,10
897,"1209533462521","Steelhead","Summer","Spawning and rearing","1703000306","170300030601",75,27
897,"1209533462521","Steelhead","Summer","Spawning and rearing","1703000306","170300030602",75,1
